"紀錄編號",Date,"COUNTYNAME","TOWNNAME","地點整併","經度","緯度","蛙種","記錄方式","生活型態","數量(隻)"
289277,2019/1/12,"新竹縣","關西鎮","南山水土保持戶外教室外圍",121.157416,24.786234,"斑腿樹蛙","目視","蝌蚪","不計數"
289291,2019/1/13,"新竹縣","關西鎮","牛欄河親水公園中游",121.184005,24.796153,"斑腿樹蛙","目視","蝌蚪","不計數"
289292,2019/1/13,"新竹縣","關西鎮","牛欄河親水公園中游",121.184005,24.796153,"斑腿樹蛙","目視","蝌蚪","不計數"
289839,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","幼體",1
289840,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","幼體",1
289841,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","成蛙",1
289842,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","蝌蚪","不計數"
289863,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雌蛙",1
289864,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雌蛙",1
289865,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雄蛙",2
289867,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雄蛙",3
289868,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雄蛙",1
289869,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雄蛙",1
289870,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雄蛙",1
289871,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雄蛙",3
289872,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","幼體",2
289873,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","幼體",3
289874,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","幼體",2
289875,2019/1/7,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","蝌蚪","不計數"
290101,2019/1/7,"台中市","新社區","七分荒塘",120.79189,24.246152,"斑腿樹蛙","目視","成蛙",2
290103,2019/1/7,"台中市","新社區","七分荒塘",120.79189,24.246152,"斑腿樹蛙","目視","成蛙",5
290104,2019/1/7,"台中市","新社區","七分荒塘",120.79189,24.246152,"斑腿樹蛙","目視","成蛙",1
290109,2019/1/14,"台中市","石岡區","德興田園",120.814041,24.264068,"斑腿樹蛙","目視","雄蛙",2
290111,2019/1/7,"台中市","新社區","七分荒塘",120.79189,24.246152,"斑腿樹蛙","目視","雄蛙",1
290117,2019/1/14,"台中市","石岡區","德興田園",120.814041,24.264068,"斑腿樹蛙","目視","雌蛙",1
290118,2019/1/14,"台中市","石岡區","德興田園",120.814041,24.264068,"斑腿樹蛙","目視","雌蛙",1
290854,2019/1/19,"台中市","東勢區","小中科",120.840136,24.2598,"斑腿樹蛙","目視","雄蛙",1
291032,2019/1/12,"苗栗縣","三義鄉","西湖度假村斑腿監測",120.761735,24.389644,"斑腿樹蛙","目視","蝌蚪","不計數"
291038,2019/1/12,"苗栗縣","三義鄉","西湖度假村斑腿監測",120.761735,24.389644,"斑腿樹蛙","目視","雄蛙",1
291378,2019/1/19,"台北市","北投區","國立台北藝術大學",121.465798,25.128638,"斑腿樹蛙","目視","幼體",1
291381,2019/1/19,"台北市","北投區","國立台北藝術大學",121.465798,25.128638,"斑腿樹蛙","目視","幼體",1
291430,2019/1/24,"台北市","南港區","中研院生技園區東北角",121.608884,25.049297,"斑腿樹蛙","目視","幼體",2
291448,2019/1/26,"新北市","土城區","山中湖",121.471193,24.957502,"斑腿樹蛙","目視","蝌蚪","不計數"
291537,2019/1/22,"新北市","鶯歌區","尖山公園",121.346185,24.947038,"斑腿樹蛙","目視","雄蛙",1
291723,2019/1/11,"台北市","文山區","臺北市立動物園-溼地生態池",121.589554,24.992263,"斑腿樹蛙","目視","蝌蚪","不計數"
291724,2019/1/11,"台北市","文山區","臺北市立動物園-溼地生態池",121.589554,24.992263,"斑腿樹蛙","目視","幼體",1
291725,2019/1/11,"台北市","文山區","臺北市立動物園-溼地生態池",121.589554,24.992263,"斑腿樹蛙","目視","雄蛙",2
291726,2019/1/11,"台北市","文山區","臺北市立動物園-溼地生態池",121.589554,24.992263,"斑腿樹蛙","目視","雄蛙",1
291727,2019/1/11,"台北市","文山區","臺北市立動物園-溼地生態池",121.589554,24.992263,"斑腿樹蛙","目視","雄蛙",4
291761,2019/1/11,"台北市","文山區","臺北市立動物園-酷節能屋",121.585517,24.995439,"斑腿樹蛙","目視","幼體",1
291762,2019/1/11,"台北市","文山區","臺北市立動物園-酷節能屋",121.585517,24.995439,"斑腿樹蛙","聽音","雄蛙",2
291763,2019/1/11,"台北市","文山區","臺北市立動物園-酷節能屋",121.585517,24.995439,"斑腿樹蛙","目視","雌蛙",1
291770,2019/1/11,"台北市","文山區","臺北市立動物園-溫帶動物區",121.59119,24.992591,"斑腿樹蛙","聽音","雄蛙",2
291771,2019/1/11,"台北市","文山區","臺北市立動物園-溫帶動物區",121.59119,24.992591,"斑腿樹蛙","目視","雌蛙",1
291822,2019/2/7,"新北市","三峽區","辭修高中",121.407939,24.932707,"斑腿樹蛙","目視","雄蛙",1
291823,2019/2/7,"新北市","三峽區","辭修高中",121.407939,24.932707,"斑腿樹蛙","目視","幼體",1
291850,2019/2/9,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","目視","蝌蚪","不計數"
291915,2019/1/6,"台北市","士林區","士林官邸生態園",121.530154,25.092834,"斑腿樹蛙","目視","成蛙",1
291922,2019/2/12,"台北市","士林區","士林官邸生態園",121.530154,25.092834,"斑腿樹蛙","目視","成蛙",2
291994,2019/2/12,"台北市","文山區","樟湖步道",121.583149,24.965926,"斑腿樹蛙","目視","成蛙",2
292101,2019/2/13,"台北市","文山區","景美仙跡岩",121.548148,24.992476,"斑腿樹蛙","目視","成蛙",1
292231,2019/2/15,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","目視","雄蛙",4
292232,2019/2/15,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","目視","雄蛙",2
292263,2019/1/29,"新北市","新莊區","新莊市水源地",121.399177,25.040294,"斑腿樹蛙","目視","蝌蚪","不計數"
292285,2019/2/9,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雌蛙",1
292308,2019/1/12,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","成蛙",1
292330,2019/1/12,"台北市","士林區","芝山岩",121.531791,25.102181,"斑腿樹蛙","目視","成蛙",1
292339,2019/2/9,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","成蛙",1
292340,2019/2/9,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","成蛙",2
292355,2019/2/9,"台北市","士林區","芝山岩",121.531791,25.102181,"斑腿樹蛙","目視","成蛙",1
292429,2019/2/18,"基隆市","中正區","龍崗步道",121.774886,25.148966,"斑腿樹蛙","目視","成蛙",1
292601,2019/2/3,"新竹縣","關西鎮","中豐路二段詹家菜園",121.185186,24.799204,"斑腿樹蛙","目視","雌蛙",1
292664,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園中游",121.184005,24.796153,"斑腿樹蛙","目視","雄蛙",1
292665,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園中游",121.184005,24.796153,"斑腿樹蛙","目視","蝌蚪","不計數"
292666,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園中游",121.184005,24.796153,"斑腿樹蛙","目視","蝌蚪","不計數"
292667,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園中游",121.184005,24.796153,"斑腿樹蛙","聽音","雄蛙",2
292668,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園中游",121.184005,24.796153,"斑腿樹蛙","目視","雄蛙",1
292717,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園下游",121.180636,24.792131,"斑腿樹蛙","目視","雄蛙",2
292718,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園下游",121.180636,24.792131,"斑腿樹蛙","目視","雄蛙",1
292719,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園下游",121.180636,24.792131,"斑腿樹蛙","目視","雌蛙",1
292720,2019/2/6,"新竹縣","關西鎮","牛欄河親水公園下游",121.180636,24.792131,"斑腿樹蛙","聽音","雄蛙",5
292729,2019/2/9,"新竹縣","竹東鎮","河濱公園竹東大橋端",121.102137,24.719524,"斑腿樹蛙","目視","卵塊","不計數"
292730,2019/2/9,"新竹縣","竹東鎮","河濱公園竹東大橋端",121.102137,24.719524,"斑腿樹蛙","目視","蝌蚪","不計數"
292731,2019/2/9,"新竹縣","竹東鎮","河濱公園竹東大橋端",121.102137,24.719524,"斑腿樹蛙","目視","蝌蚪","不計數"
292902,2019/2/24,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","目視","雄蛙",6
292903,2019/2/24,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","聽音","雄蛙",3
292904,2019/2/24,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","目視","卵塊","不計數"
292935,2019/2/27,"新北市","深坑區","蔚藍山莊阿婆菜園",121.621831,25.004943,"斑腿樹蛙","聽音","雄蛙",1
292950,2019/2/27,"新北市","深坑區","開心農場",121.615628,24.992618,"斑腿樹蛙","聽音","雄蛙",1
293092,2019/2/28,"新北市","深坑區","阿柔洋產業道路",121.62135,24.98604,"斑腿樹蛙","目視","成蛙",2
293142,2019/2/28,"台北市","文山區","明興生態區",121.564093,24.991775,"斑腿樹蛙","目視","成蛙",1
293143,2019/2/28,"台北市","文山區","明興生態區",121.564093,24.991775,"斑腿樹蛙","目視","幼體",2
293144,2019/2/28,"台北市","文山區","明興生態區",121.564093,24.991775,"斑腿樹蛙","聽音","雄蛙",1
293175,2019/2/20,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","成蛙",1
293176,2019/2/20,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","聽音","雄蛙",2
293177,2019/2/20,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","雌蛙",1
293178,2019/2/20,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","幼體",3
293179,2019/2/20,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","雄蛙",3
293180,2019/2/20,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","雌蛙",4
293181,2019/2/20,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","雄蛙",1
293182,2019/2/20,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","雌蛙",1
293186,2019/2/20,"台北市","南港區","中研院生技園區東北角",121.608884,25.049297,"斑腿樹蛙","目視","幼體",2
293187,2019/2/20,"台北市","南港區","中研院生技園區東北角",121.608884,25.049297,"斑腿樹蛙","聽音","雄蛙",6
293188,2019/2/20,"台北市","南港區","中研院生技園區東北角",121.608884,25.049297,"斑腿樹蛙","目視","成蛙",1
293196,2019/2/20,"台北市","南港區","中研院生技園區東北角",121.608884,25.049297,"斑腿樹蛙","目視","幼體",1
293197,2019/2/20,"台北市","南港區","中研院生技園區東北角",121.608884,25.049297,"斑腿樹蛙","目視","雄蛙",2
293217,2019/2/26,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","蝌蚪","不計數"
293220,2019/2/26,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","幼體",1
293221,2019/2/26,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","幼體",2
293222,2019/2/26,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","蝌蚪","不計數"
293242,2019/2/28,"台中市","新社區","雙翠水壩",120.797366,24.239388,"斑腿樹蛙","聽音","雄蛙",2
293257,2019/3/1,"新北市","深坑區","福德宮",121.613699,24.995217,"斑腿樹蛙","目視","成蛙",3
293258,2019/3/1,"新北市","深坑區","福德宮",121.613699,24.995217,"斑腿樹蛙","目視","成蛙",1
293288,2019/3/2,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","目視","雄蛙",1
293289,2019/3/2,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","目視","雄蛙",4
293290,2019/3/2,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","目視","雄蛙",3
293291,2019/3/2,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","目視","幼體",1
293295,2019/3/2,"新北市","土城區","土城彈藥庫",121.447738,24.964499,"斑腿樹蛙","聽音","雄蛙",9
293481,2019/3/2,"台北市","文山區","明興生態區",121.564093,24.991775,"斑腿樹蛙","目視","成蛙",6
293482,2019/3/2,"台北市","文山區","明興生態區",121.564093,24.991775,"斑腿樹蛙","目視","幼體",3
293483,2019/3/2,"台北市","文山區","明興生態區",121.564093,24.991775,"斑腿樹蛙","聽音","雄蛙",3
293527,2019/2/15,"台中市","石岡區","德興田園",120.814041,24.264068,"斑腿樹蛙","聽音","雄蛙",2
293550,2019/1/12,"苗栗縣","三義鄉","西湖渡假村忘憂谷",120.768964,24.387886,"斑腿樹蛙","目視","蝌蚪","不計數"
293551,2019/1/12,"苗栗縣","三義鄉","西湖渡假村忘憂谷",120.768964,24.387886,"斑腿樹蛙","目視","成蛙",1
293552,2019/1/12,"苗栗縣","三義鄉","西湖渡假村忘憂谷",120.768964,24.387886,"斑腿樹蛙","目視","成蛙",1
293560,2019/1/12,"苗栗縣","三義鄉","西湖渡假村忘憂谷",120.768964,24.387886,"斑腿樹蛙","目視","成蛙",1
293565,2019/1/12,"苗栗縣","三義鄉","西湖渡假村忘憂谷",120.768964,24.387886,"斑腿樹蛙","目視","成蛙",1
293619,2019/3/2,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","幼體",1
293620,2019/3/2,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","成蛙",1
293621,2019/3/2,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","成蛙",1
293622,2019/3/2,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","成蛙",1
293623,2019/3/2,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","成蛙",1
293624,2019/3/2,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","成蛙",1
293625,2019/3/2,"台北市","士林區","芝山文化生態綠園",121.532046,25.103913,"斑腿樹蛙","目視","幼體",1
293651,2019/3/2,"台北市","士林區","芝山岩",121.531791,25.102181,"斑腿樹蛙","目視","成蛙",11
293652,2019/3/2,"台北市","士林區","芝山岩",121.531791,25.102181,"斑腿樹蛙","目視","成蛙",2
293682,2019/1/12,"苗栗縣","三義鄉","西湖渡假村園區",120.759397,24.390435,"斑腿樹蛙","目視","蝌蚪","不計數"
293688,2019/1/12,"苗栗縣","三義鄉","西湖渡假村園區",120.759397,24.390435,"斑腿樹蛙","目視","成蛙",1
293697,2019/1/12,"苗栗縣","三義鄉","西湖渡假村忘憂谷",120.768964,24.387886,"斑腿樹蛙","目視","成蛙",1
293701,2019/1/12,"苗栗縣","三義鄉","西湖渡假村忘憂谷",120.768964,24.387886,"斑腿樹蛙","目視","成蛙",1
293716,2019/2/28,"雲林縣","斗六市","諸羅樹蛙公園",120.565384,23.714048,"斑腿樹蛙","目視","雄蛙",5
293717,2019/2/28,"雲林縣","斗六市","諸羅樹蛙公園",120.565384,23.714048,"斑腿樹蛙","目視","雄蛙",3
293718,2019/2/28,"雲林縣","斗六市","諸羅樹蛙公園",120.565384,23.714048,"斑腿樹蛙","聽音","雄蛙",2
293719,2019/2/28,"雲林縣","斗六市","諸羅樹蛙公園",120.565384,23.714048,"斑腿樹蛙","目視","雌蛙",1
293759,2019/2/9,"南投縣","竹山鎮","秀林里大坑",120.686083,23.73761,"斑腿樹蛙","目視","雄蛙",1
293860,2019/3/2,"台北市","文山區","樟樹步道",121.586692,24.967556,"斑腿樹蛙","目視","成蛙",1
293890,2019/3/8,"台中市","東勢區","東勢林場門口周邊",120.867775,24.285198,"斑腿樹蛙","聽音","雄蛙",1
293896,2019/3/8,"台中市","東勢區","東勢林場門口周邊",120.867775,24.285198,"斑腿樹蛙","聽音","雄蛙",1
294048,2019/3/9,"新北市","三峽區","辭修高中",121.407939,24.932707,"斑腿樹蛙","目視","雄蛙",2
294049,2019/3/9,"新北市","三峽區","辭修高中",121.407939,24.932707,"斑腿樹蛙","目視","雌蛙",1
294076,2019/3/9,"新北市","三峽區","辭修高中",121.407939,24.932707,"斑腿樹蛙","目視","雌蛙",2
294077,2019/3/9,"新北市","三峽區","辭修高中",121.407939,24.932707,"斑腿樹蛙","目視","雄蛙",4
294081,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雌蛙",1
294088,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
294096,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","聽音","雄蛙",1
294097,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雌蛙",1
294104,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
294108,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
294110,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
294116,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雌蛙",1
294117,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雌蛙",1
294126,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
294130,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雌蛙",1
294131,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
294134,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雌蛙",1
294138,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",2
294150,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
294159,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","目視","雄蛙",1
294162,2019/3/2,"台北市","北投區","關渡自然公園",121.470512,25.119162,"斑腿樹蛙","聽音","雄蛙",2
294190,2019/3/10,"台北市","文山區","樟湖步道",121.583149,24.965926,"斑腿樹蛙","目視","成蛙",3
294205,2019/3/11,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","目視","雄蛙",1
294206,2019/3/11,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","目視","雄蛙",1
294207,2019/3/11,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","目視","雄蛙",2
294208,2019/3/11,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","目視","雌蛙",1
294209,2019/3/11,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","聽音","雄蛙",1
294210,2019/3/11,"宜蘭縣","冬山鄉","淋漓坑水生池",121.699475,24.640943,"斑腿樹蛙","目視","卵塊","不計數"
294527,2019/3/13,"新北市","深坑區","向天湖",121.623087,24.988804,"斑腿樹蛙","聽音","雄蛙",2
294528,2019/3/13,"新北市","深坑區","向天湖",121.623087,24.988804,"斑腿樹蛙","目視","雌蛙",1
294564,2019/3/12,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","雄蛙",1
294565,2019/3/12,"台北市","南港區","中研院生技園區生態池",121.609651,25.048002,"斑腿樹蛙","目視","雌蛙",1
294583,2019/3/12,"台北市","南港區","中研院生技園區東北角",121.608884,25.049297,"斑腿樹蛙","目視","雄蛙",2
294632,2019/1/2,"新北市","板橋區","中和15工廠菜園",121.485062,25.016511,"斑腿樹蛙","目視","蝌蚪","不計數"
294633,2019/1/2,"新北市","板橋區","中和15工廠菜園",121.485062,25.016511,"斑腿樹蛙","目視","蝌蚪","不計數"
294634,2019/1/2,"新北市","板橋區","中和15工廠菜園",121.485062,25.016511,"斑腿樹蛙","目視","蝌蚪","不計數"
294635,2019/1/2,"新北市","板橋區","中和15工廠菜園",121.485062,25.016511,"斑腿樹蛙","目視","雄蛙",1
294641,2019/1/2,"新北市","土城區","中和11工廠上菜園",121.472767,24.980465,"斑腿樹蛙","目視","蝌蚪","不計數"
294642,2019/1/2,"新北市","土城區","中和11工廠上菜園",121.472767,24.980465,"斑腿樹蛙","目視","蝌蚪","不計數"
294643,2019/1/2,"新北市","土城區","中和11工廠上菜園",121.472767,24.980465,"斑腿樹蛙","目視","蝌蚪","不計數"
294644,2019/1/2,"新北市","土城區","中和11工廠上菜園",121.472767,24.980465,"斑腿樹蛙","目視","蝌蚪","不計數"
294645,2019/1/2,"新北市","土城區","中和11工廠上菜園",121.472767,24.980465,"斑腿樹蛙","目視","蝌蚪","不計數"
294646,2019/1/2,"新北市","土城區","中和11工廠上菜園",121.472767,24.980465,"斑腿樹蛙","目視","蝌蚪","不計數"
294647,2019/1/2,"新北市","土城區","中和11工廠上菜園",121.472767,24.980465,"斑腿樹蛙","目視","蝌蚪","不計數"
294648,2019/1/2,"新北市","土城區","中和11工廠上菜園",121.472767,24.980465,"斑腿樹蛙","目視","蝌蚪","不計數"
294676,2019/1/20,"新北市","樹林區","超大菜園",121.408829,25.010502,"斑腿樹蛙","目視","蝌蚪","不計數"
294677,2019/1/20,"新北市","樹林區","超大菜園",121.408829,25.010502,"斑腿樹蛙","目視","蝌蚪","不計數"
294678,2019/1/20,"新北市","樹林區","超大菜園",121.408829,25.010502,"斑腿樹蛙","目視","蝌蚪","不計數"
294754,2019/1/9,"台中市","后里區","泰安舊鐵道園區",120.750774,24.322902,"斑腿樹蛙","目視","雄蛙",1
294783,2019/3/15,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","蝌蚪","不計數"
294784,2019/3/15,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","蝌蚪","不計數"
294785,2019/3/15,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雄蛙",1
294786,2019/3/15,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","幼體",1
294787,2019/3/15,"台北市","南港區","南港公園",121.591571,25.043173,"斑腿樹蛙","目視","雄蛙",2
294788,2019/2/11,"苗栗縣","三義鄉","龍騰斷橋景山溪",120.773701,24.3576,"斑腿樹蛙","目視","雌蛙",1
294801,2019/2/12,"苗栗縣","三義鄉","三義茶園1生態池",120.752657,24.408672,"斑腿樹蛙","目視","雄蛙",1
294845,2019/2/18,"新北市","三峽區","碳中和樂園",121.337624,24.898016,"斑腿樹蛙","目視","雌蛙",1
294902,2019/3/9,"彰化縣","田尾鄉","蕙洋園",120.528294,23.906956,"斑腿樹蛙","目視","雄蛙",2
294903,2019/3/9,"彰化縣","田尾鄉","蕙洋園",120.528294,23.906956,"斑腿樹蛙","目視","卵塊","不計數"
294904,2019/3/9,"彰化縣","永靖鄉","新蕙洋園",120.50068,23.926282,"斑腿樹蛙","目視","雄蛙",20
294905,2019/3/9,"彰化縣","永靖鄉","新蕙洋園",120.50068,23.926282,"斑腿樹蛙","目視","卵塊","不計數"
294906,2019/3/9,"彰化縣","永靖鄉","新蕙洋園",120.50068,23.926282,"斑腿樹蛙","目視","卵塊","不計數"
294907,2019/3/9,"彰化縣","田尾鄉","田尾國小",120.528457,23.89158,"斑腿樹蛙","目視","雌蛙",1
294908,2019/3/9,"彰化縣","田尾鄉","田尾國小",120.528457,23.89158,"斑腿樹蛙","目視","雄蛙",6
294932,2019/3/17,"台北市","南港區","潘家菜園",121.609275,25.042244,"斑腿樹蛙","目視","雌蛙",4
294933,2019/3/17,"台北市","南港區","潘家菜園",121.609275,25.042244,"斑腿樹蛙","目視","雄蛙",4
294934,2019/3/17,"台北市","南港區","潘家菜園",121.609275,25.042244,"斑腿樹蛙","目視","雄蛙",2
294935,2019/3/17,"台北市","南港區","潘家菜園",121.609275,25.042244,"斑腿樹蛙","目視","雄蛙",2
294936,2019/3/17,"台北市","南港區","潘家菜園",121.609275,25.042244,"斑腿樹蛙","目視","蝌蚪","不計數"
