年,季節,蛙種,數量,縣市,鄉鎮,地點,環境型態,經度,緯度
2008,S3,布氏樹蛙,2,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,拉都希氏赤蛙,2,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,貢德氏赤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,莫氏樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,斯文豪氏赤蛙,4,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,腹斑蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,盤古蟾蜍,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S3,澤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,小雨蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,日本樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,布氏樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,拉都希氏赤蛙,2,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,貢德氏赤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,莫氏樹蛙,1,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,斯文豪氏赤蛙,2,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,黑眶蟾蜍,1,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,腹斑蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,盤古蟾蜍,1,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S4,澤蛙,0,花蓮縣,壽豐鄉,193縣道24.5K,闊葉林,121.594868,23.911414
2008,S1,小雨蛙,0,花蓮縣,壽豐鄉,193縣道38K,墾地,121.534631,23.832402
2008,S1,日本樹蛙,0,花蓮縣,壽豐鄉,193縣道39K,墾地,121.534631,23.832402
2008,S1,布氏樹蛙,1,花蓮縣,壽豐鄉,193縣道40K,墾地,121.534631,23.832402
2008,S1,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道41K,墾地,121.534631,23.832402
2008,S1,拉都希氏赤蛙,29,花蓮縣,壽豐鄉,193縣道42K,墾地,121.534631,23.832402
2008,S1,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道43K,墾地,121.534631,23.832402
2008,S1,貢德氏赤蛙,0,花蓮縣,壽豐鄉,193縣道44K,墾地,121.534631,23.832402
2008,S1,莫氏樹蛙,7,花蓮縣,壽豐鄉,193縣道45K,墾地,121.534631,23.832402
2008,S1,斯文豪氏赤蛙,2,花蓮縣,壽豐鄉,193縣道46K,墾地,121.534631,23.832402
2008,S1,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.534631,23.832402
2008,S1,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道48K,墾地,121.534631,23.832402
2008,S1,腹斑蛙,0,花蓮縣,壽豐鄉,193縣道49K,墾地,121.534631,23.832402
2008,S1,盤古蟾蜍,0,花蓮縣,壽豐鄉,193縣道50K,墾地,121.534631,23.832402
2008,S1,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道51K,墾地,121.534631,23.832402
2008,S1,澤蛙,0,花蓮縣,壽豐鄉,193縣道52K,墾地,121.534631,23.832402
2008,S2,小雨蛙,0,花蓮縣,壽豐鄉,193縣道53K,墾地,121.534631,23.832402
2008,S2,日本樹蛙,5,花蓮縣,壽豐鄉,193縣道54K,墾地,121.534631,23.832402
2008,S2,布氏樹蛙,8,花蓮縣,壽豐鄉,193縣道55K,墾地,121.534631,23.832402
2008,S2,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道56K,墾地,121.534631,23.832402
2008,S2,拉都希氏赤蛙,20,花蓮縣,壽豐鄉,193縣道57K,墾地,121.534631,23.832402
2008,S2,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道58K,墾地,121.534631,23.832402
2008,S2,貢德氏赤蛙,1,花蓮縣,壽豐鄉,193縣道59K,墾地,121.534631,23.832402
2008,S2,莫氏樹蛙,1,花蓮縣,壽豐鄉,193縣道60K,墾地,121.534631,23.832402
2008,S2,斯文豪氏赤蛙,1,花蓮縣,壽豐鄉,193縣道61K,墾地,121.534631,23.832402
2008,S2,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道62K,墾地,121.534631,23.832402
2008,S2,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道63K,墾地,121.534631,23.832402
2008,S2,腹斑蛙,10,花蓮縣,壽豐鄉,193縣道64K,墾地,121.534631,23.832402
2008,S2,盤古蟾蜍,0,花蓮縣,壽豐鄉,193縣道65K,墾地,121.534631,23.832402
2008,S2,褐樹蛙,6,花蓮縣,壽豐鄉,193縣道66K,墾地,121.534631,23.832402
2008,S2,澤蛙,0,花蓮縣,壽豐鄉,193縣道67K,墾地,121.534631,23.832402
2008,S3,小雨蛙,0,花蓮縣,壽豐鄉,193縣道68K,墾地,121.534631,23.832402
2008,S3,日本樹蛙,1,花蓮縣,壽豐鄉,193縣道69K,墾地,121.534631,23.832402
2008,S3,布氏樹蛙,5,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,拉都希氏赤蛙,3,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,貢德氏赤蛙,1,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,莫氏樹蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,斯文豪氏赤蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,腹斑蛙,5,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,盤古蟾蜍,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S3,澤蛙,2,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,小雨蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,日本樹蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,布氏樹蛙,2,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,拉都希氏赤蛙,25,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,貢德氏赤蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,莫氏樹蛙,3,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,斯文豪氏赤蛙,9,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,腹斑蛙,8,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,盤古蟾蜍,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S4,澤蛙,0,花蓮縣,壽豐鄉,193縣道70K,墾地,121.534631,23.832402
2008,S1,小雨蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,日本樹蛙,4,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,布氏樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,艾氏樹蛙,3,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,拉都希氏赤蛙,25,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,貢德氏赤蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,莫氏樹蛙,5,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,斯文豪氏赤蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,腹斑蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,盤古蟾蜍,1,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S1,澤蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,小雨蛙,2,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,日本樹蛙,15,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,布氏樹蛙,17,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,拉都希氏赤蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,虎皮蛙,3,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,貢德氏赤蛙,15,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,莫氏樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,斯文豪氏赤蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,腹斑蛙,2,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,盤古蟾蜍,1,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,澤蛙,1,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,小雨蛙,50,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,日本樹蛙,8,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,布氏樹蛙,3,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,拉都希氏赤蛙,2,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,貢德氏赤蛙,2,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,莫氏樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,斯文豪氏赤蛙,1,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,腹斑蛙,1,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,盤古蟾蜍,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S3,澤蛙,1,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,小雨蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,日本樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,布氏樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,艾氏樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,拉都希氏赤蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,虎皮蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,貢德氏赤蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,莫氏樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,斯文豪氏赤蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,黑眶蟾蜍,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,黑蒙西氏小雨蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,腹斑蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,盤古蟾蜍,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,褐樹蛙,0,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S4,澤蛙,1,花蓮縣,壽豐鄉,193縣道47K,墾地,121.506266,23.769877
2008,S2,小雨蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,中國樹蟾,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,巴氏小雨蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,史丹吉氏小雨蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,亞洲錦蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,虎皮蛙,1,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,貢德氏赤蛙,1,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,黑眶蟾蜍,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,諸羅樹蛙,1,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,澤蛙,4,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,小雨蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,中國樹蟾,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,巴氏小雨蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,史丹吉氏小雨蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,亞洲錦蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,虎皮蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,貢德氏赤蛙,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,黑眶蟾蜍,0,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,諸羅樹蛙,26,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S3,澤蛙,1,台南市,永康區,三崁店,墾地,120.24585,23.054795
2008,S2,日本樹蛙,3,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,布氏樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,艾氏樹蛙,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,拉都希氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,長腳赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,面天樹蛙,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,貢德氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,梭德氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,莫氏樹蛙,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,斯文豪氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,黑眶蟾蜍,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,福建大頭蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,臺北樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,盤古蟾蜍,3,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,褐樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,諸羅樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S2,澤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,日本樹蛙,4,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,布氏樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,艾氏樹蛙,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,拉都希氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,長腳赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,面天樹蛙,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,貢德氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,梭德氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,莫氏樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,斯文豪氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,黑眶蟾蜍,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,福建大頭蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,臺北樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,盤古蟾蜍,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,褐樹蛙,4,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,諸羅樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S3,澤蛙,3,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,日本樹蛙,3,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,布氏樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,艾氏樹蛙,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,拉都希氏赤蛙,1,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,長腳赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,面天樹蛙,2,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,貢德氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,梭德氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,莫氏樹蛙,3,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,斯文豪氏赤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,黑眶蟾蜍,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,福建大頭蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,臺北樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,盤古蟾蜍,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,褐樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,諸羅樹蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S4,澤蛙,0,宜蘭縣,冬山鄉,新寮瀑布,墾地/森林,121.74723,24.607083
2008,S1,小雨蛙,0,台中市,東勢區,東勢林場,墾地/森林,120.873077,24.28281
2008,S1,中國樹蟾,0,台中市,東勢區,東勢林場,墾地/森林,120.873077,24.28281
2008,S1,日本樹蛙,0,台中市,東勢區,東勢林場,墾地/森林,120.873077,24.28281
