siteName	year	month	date	samplingDepthInMeter	distToCoast	samplingVolume	debrisDaily	debrisOrganism	debrisWood	miscellaneous
"台灣電力股份有限公司
(大林發電廠)"	106	7	24	8	0	7598490.00 	0	0	0	4790
"台灣電力股份有限公司
(大林發電廠)"	106	8	3	8	0	7903828.00 	0	0	0	7510
"台灣電力股份有限公司
(大林發電廠)"	106	8	15	8	0	8079264.00 	0	0	0	8110
"台灣電力股份有限公司
(大林發電廠)"	106	8	24	8	0	5226960.00 	0	0	0	5840
"台灣電力股份有限公司
(大潭發電廠)"							0	0	0	0
"台灣電力股份有限公司
(協和發電廠)"	106	9	11	5	0	7115930.00 	0	0	19950	0
"台灣電力股份有限公司
(林口發電廠)"	106	9	8	8.85	0	6912000.00 	0	0	0	400
"台灣電力股份有限公司
(第二核能發電廠)"							0	0	0	0
"台灣電力股份有限公司
(第三核能發電廠)"	106	9		8	0	10582536.00 	0	20	0	0
"台灣電力股份有限公司
(通霄發電廠)"	106	9		15	1400	3635800.00 	15	0	0	0
"台灣電力股份有限公司
(興達發電廠)"	106	9	6	5	400	13046391.00 	1800	7075	3725	0
"台灣電力股份有限公司
(台中發電廠)"	106	8		7.3	5000	22550.40 	0	4070	0	0
"台灣電力股份有限公司
(台中發電廠)"	106	7		7.3	5000	22395.43 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	106	6		7.3	5000	22534.65 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	106	5		7.3	5000	22419.45 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	106	4		7.3	5000	19470.16 	0	4200	0	0
"台灣電力股份有限公司
(台中發電廠)"	106	3		7.3	5000	14696.58 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	106	2		7.3	5000	14467.19 	0	4270	0	0
"台灣電力股份有限公司
(台中發電廠)"	106	1		7.3	5000	15246.98 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	12		7.3	5000	180252.38 	0	16180	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	11		7.3	5000	20110.60 	0	10690	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	10		7.3	5000	19963.37 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	9		7.3	5000	21474.12 	0	8670	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	8		7.3	5000	22404.00 	0	2950	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	7		7.3	5000	22240.23 	0	11250	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	6		7.3	5000	22215.86 	0	15750	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	5		7.3	5000	21416.76 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	4		7.3	5000	18536.95 	0	10170	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	3		7.3	5000	14825.14 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	2		7.3	5000	14988.49 	0	12510	0	0
"台灣電力股份有限公司
(台中發電廠)"	105	1		7.3	5000	14443.23 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	12		7.3	5000	17721.33 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	11		7.3	5000	20661.95 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	10		7.3	5000	19607.67 	0	7410	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	9		7.3	5000	21264.38 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	8		7.3	5000	22535.55 	0	9950	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	7		7.3	5000	22455.08 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	6		7.3	5000	21779.38 	0	14670	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	5		7.3	5000	20705.15 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	4		7.3	5000	20866.29 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	3		7.3	5000	16099.05 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	2		7.3	5000	14914.52 	0	0	0	0
"台灣電力股份有限公司
(台中發電廠)"	104	1		7.3	5000	14484.61 	0	0	0	0
和平電力股份有限公司	106	9	11	10	30	3800000.00 	4	300	0	0
台灣電力股份有限公司(第一核能發電廠)	104	1		6		4480000.00 	500	0	0	0
台灣電力股份有限公司(第一核能發電廠)	104	2		6		4480000.00 	470	0	0	0
台灣電力股份有限公司(第一核能發電廠)	104	3		6		4480000.00 	1610	0	0	0
台灣電力股份有限公司(第一核能發電廠)	104	4		6		4470000.00 	2880	0	0	0
台灣電力股份有限公司(第一核能發電廠)	104	5		6		4420000.00 	4260	0	0	0
台灣電力股份有限公司(第一核能發電廠)	104	6		6		4480000.00 	1340	0	0	0
台灣電力股份有限公司(第一核能發電廠)	104	7		6		4470000.00 	4750	0	560	0
台灣電力股份有限公司(第一核能發電廠)	104	8		6		4440000.00 	2050	6560	1610	0
台灣電力股份有限公司(第一核能發電廠)	104	9		6		4440000.00 	6220	0	15620	0
台灣電力股份有限公司(第一核能發電廠)	104	10		6		4470000.00 	5470	0	26690	0
台灣電力股份有限公司(第一核能發電廠)	104	11		6		4440000.00 	3820	0	5540	0
台灣電力股份有限公司(第一核能發電廠)	104	12		6		2490000.00 	1920	0	0	0
台灣電力股份有限公司(第一核能發電廠)	105	1		6		4240000.00 	2650	0	0	0
台灣電力股份有限公司(第一核能發電廠)	105	2		6		4470000.00 	630	0	0	0
台灣電力股份有限公司(第一核能發電廠)	105	3		6		3050000.00 	1790	0	0	0
台灣電力股份有限公司(第一核能發電廠)	105	4		6		3170000.00 	2220	0	760	0
台灣電力股份有限公司(第一核能發電廠)	105	5		6		4470000.00 	3420	0	0	0
台灣電力股份有限公司(第一核能發電廠)	105	6		6		4470000.00 	1990	1750	0	0
台灣電力股份有限公司(第一核能發電廠)	105	7		6		4470000.00 	2790	0	0	0
台灣電力股份有限公司(第一核能發電廠)	105	8		6		4470000.00 	0	1380	0	0
台灣電力股份有限公司(第一核能發電廠)	105	9		6		4440000.00 	1010	4090	0	0
台灣電力股份有限公司(第一核能發電廠)	105	10		6		4470000.00 	0	3640	3840	0
台灣電力股份有限公司(第一核能發電廠)	105	11		6		4470000.00 	0	0	7610	0
台灣電力股份有限公司(第一核能發電廠)	105	12		6		4420000.00 	1150	0	0	0
台灣電力股份有限公司(第一核能發電廠)	106	1		6		4470000.00 	460	0	0	0
台灣電力股份有限公司(第一核能發電廠)	106	2		6		4470000.00 	620	0	0	0
台灣電力股份有限公司(第一核能發電廠)	106	3		6		4450000.00 	5470	630	0	0
台灣電力股份有限公司(第一核能發電廠)	106	4		6		4470000.00 	3940	250	0	0
台灣電力股份有限公司(第一核能發電廠)	106	5		6		4470000.00 	1800	200	0	0
台灣電力股份有限公司(第一核能發電廠)	106	6		6		3040000.00 	0	300	58960	0
台灣電力股份有限公司(第一核能發電廠)	106	7		6		2980000.00 	3500	500	54170	0
台灣電力股份有限公司(第一核能發電廠)	106	8		6		2830000.00 	830	300	23810	0
長生電力股份有限公司	104	1	6	9.5	1270	1576007.00 	0	0	0	2760
長生電力股份有限公司	104	1	7	9.5	1270	1249800.00 	0	0	0	236
長生電力股份有限公司	104	1	14	9.5	1270	1398835.00 	0	0	0	232
長生電力股份有限公司	104	1	21	9.5	1270	1309427.00 	0	0	0	314
長生電力股份有限公司	104	1	27	9.5	1270	1448196.00 	0	0	0	10160
長生電力股份有限公司	104	1	28	9.5	1270	1465000.00 	0	0	0	280
長生電力股份有限公司	104	2	4	9.5	1270	1766361.00 	0	0	0	268
長生電力股份有限公司	104	2	11	9.5	1270	1418425.00 	0	0	0	302
長生電力股份有限公司	104	2	16	9.5	1270	1055829.00 	0	0	0	268
長生電力股份有限公司	104	2	24	9.5	1270	1602547.00 	0	0	0	6140
長生電力股份有限公司	104	2	25	9.5	1270	1792545.00 	0	0	0	266
長生電力股份有限公司	104	3	4	9.5	1270	1676641.00 	0	0	0	316
長生電力股份有限公司	104	3	9	9.5	1270	898561.00 	0	0	0	1870
長生電力股份有限公司	104	3	11	9.5	1270	1616876.00 	0	0	0	256
長生電力股份有限公司	104	3	18	9.5	1270	1638817.00 	0	0	0	242
長生電力股份有限公司	104	3	25	9.5	1270	1768567.00 	0	0	0	298
長生電力股份有限公司	104	4	1	9.5	1270	1353761.00 	0	0	0	6992
長生電力股份有限公司	104	4	8	9.5	1270	1287657.00 	0	0	0	700
長生電力股份有限公司	104	4	11	9.5	1270	1357990.00 	0	0	0	7220
長生電力股份有限公司	104	4	15	9.5	1270	1324685.00 	0	0	0	646
長生電力股份有限公司	104	4	22	9.5	1270	1511698.00 	0	0	0	422
長生電力股份有限公司	104	4	29	9.5	1270	1655104.00 	0	0	0	548
長生電力股份有限公司	104	5	5	9.5	1270	1747316.00 	0	0	0	3610
長生電力股份有限公司	104	5	6	9.5	1270	1685246.00 	0	0	0	270
長生電力股份有限公司	104	5	13	9.5	1270	1675501.00 	0	0	0	334
長生電力股份有限公司	104	5	20	9.5	1270	1776459.00 	0	0	0	322
長生電力股份有限公司	104	5	27	9.5	1270	1537125.00 	0	0	0	330
長生電力股份有限公司	104	6	3	9.5	1270	1669608.00 	0	0	0	294
長生電力股份有限公司	104	6	10	9.5	1270	1643979.00 	0	0	0	246
長生電力股份有限公司	104	6	17	9.5	1270	1728861.00 	0	0	0	276
長生電力股份有限公司	104	6	22	9.5	1270	1650723.00 	0	0	0	2640
長生電力股份有限公司	104	6	24	9.5	1270	1736401.00 	0	0	0	258
長生電力股份有限公司	104	6	30	9.5	1270	1724272.00 	0	0	0	410
長生電力股份有限公司	104	7	1	9.5	1270	1669036.00 	0	0	0	304
長生電力股份有限公司	104	7	8	9.5	1270	1661273.00 	0	0	0	260
長生電力股份有限公司	104	7	15	9.5	1270	1637010.00 	0	0	0	278
長生電力股份有限公司	104	7	22	9.5	1270	1726405.00 	0	0	0	272
長生電力股份有限公司	104	7	29	9.5	1270	1579130.00 	0	0	0	206
長生電力股份有限公司	104	8	5	9.5	1270	1563179.00 	0	0	0	222
長生電力股份有限公司	104	8	6	9.5	1270	1611041.00 	0	0	0	3460
長生電力股份有限公司	104	8	12	9.5	1270	1569220.00 	0	0	0	324
長生電力股份有限公司	104	8	19	9.5	1270	1595305.00 	0	0	0	428
長生電力股份有限公司	104	8	26	9.5	1270	1496689.00 	0	0	0	304
長生電力股份有限公司	104	9	2	9.5	1270	1527999.00 	0	0	0	448
長生電力股份有限公司	104	9	9	9.5	1270	1595119.00 	0	0	0	256
長生電力股份有限公司	104	9	15	9.5	1270	1746827.00 	0	0	0	6540
長生電力股份有限公司	104	9	16	9.5	1270	1714826.00 	0	0	0	320
長生電力股份有限公司	104	9	30	9.5	1270	1663702.00 	0	0	0	518
長生電力股份有限公司	104	10	7	9.5	1270	1740681.00 	0	0	0	238
長生電力股份有限公司	104	10	14	9.5	1270	1600268.00 	0	0	0	320
長生電力股份有限公司	104	11	2	9.5	1270	822357.00 	0	0	0	488
長生電力股份有限公司	104	11	10	9.5	1270	1476607.00 	0	0	0	4800
長生電力股份有限公司	104	11	11	9.5	1270	1419826.00 	0	0	0	356
長生電力股份有限公司	104	11	18	9.5	1270	1720727.00 	0	0	0	222
長生電力股份有限公司	104	11	25	9.5	1270	1873166.00 	0	0	0	222
長生電力股份有限公司	104	12	2	9.5	1270	1865655.00 	0	0	0	226
長生電力股份有限公司	104	12	9	9.5	1270	1867852.00 	0	0	0	268
長生電力股份有限公司	104	12	16	9.5	1270	1258285.00 	0	0	0	280
長生電力股份有限公司	104	12	22	9.5	1270	1541174.00 	0	0	0	5290
長生電力股份有限公司	104	12	23	9.5	1270	1549204.00 	0	0	0	242
長生電力股份有限公司	105	1	6	9.5	1270	1757489.00 	0	0	0	620
長生電力股份有限公司	105	1	13	9.5	1270	1686852.00 	0	0	0	288
長生電力股份有限公司	105	1	20	9.5	1270	1767563.00 	0	0	0	312
長生電力股份有限公司	105	1	27	9.5	1270	1621644.00 	0	0	0	338
長生電力股份有限公司	105	2	3	9.5	1270	1380439.00 	0	0	0	306
長生電力股份有限公司	105	2	4	9.5	1270	1336881.00 	0	0	0	2360
長生電力股份有限公司	105	2	17	9.5	1270	888797.00 	0	0	0	642
長生電力股份有限公司	105	2	24	9.5	1270	1658968.00 	0	0	0	468
長生電力股份有限公司	105	2	26	9.5	1270	1665078.00 	0	0	0	6120
長生電力股份有限公司	105	3	2	9.5	1270	1202842.00 	0	0	0	244
長生電力股份有限公司	105	3	9	9.5	1270	1691279.00 	0	0	0	238
長生電力股份有限公司	105	3	10	9.5	1270	1330327.00 	0	0	0	1980
長生電力股份有限公司	105	3	16	9.5	1270	1237864.00 	0	0	0	256
長生電力股份有限公司	105	3	23	9.5	1270	885809.00 	0	0	0	272
長生電力股份有限公司	105	3	26	9.5	1270	762636.00 	0	0	0	2710
長生電力股份有限公司	105	3	30	9.5	1270	857974.00 	0	0	0	490
長生電力股份有限公司	105	4	8	9.5	1270	1519911.00 	0	0	0	2960
長生電力股份有限公司	105	4	13	9.5	1270	1644423.00 	0	0	0	926
長生電力股份有限公司	105	4	20	9.5	1270	1598120.00 	0	0	0	352
長生電力股份有限公司	105	4	27	9.5	1270	1793787.00 	0	0	0	300
長生電力股份有限公司	105	5	4	9.5	1270	1860588.00 	0	0	0	308
長生電力股份有限公司	105	5	11	9.5	1270	1602610.00 	0	0	0	340
長生電力股份有限公司	105	5	18	9.5	1270	1618109.00 	0	0	0	324
長生電力股份有限公司	105	5	25	9.5	1270	1668888.00 	0	0	0	280
長生電力股份有限公司	105	6	1	9.5	1270	1713317.00 	0	0	0	236
長生電力股份有限公司	105	6	8	9.5	1270	1706975.00 	0	0	0	300
長生電力股份有限公司	105	6	13	9.5	1270	1668311.00 	0	0	0	4100
長生電力股份有限公司	105	6	15	9.5	1270	1541263.00 	0	0	0	272
長生電力股份有限公司	105	6	22	9.5	1270	1756347.00 	0	0	0	322
長生電力股份有限公司	105	6	29	9.5	1270	1683092.00 	0	0	0	356
長生電力股份有限公司	105	7	6	9.5	1270	1680992.00 	0	0	0	344
長生電力股份有限公司	105	7	13	9.5	1270	1512011.00 	0	0	0	238
長生電力股份有限公司	105	7	20	9.5	1270	1586544.00 	0	0	0	288
長生電力股份有限公司	105	7	27	9.5	1270	1538323.00 	0	0	0	274
長生電力股份有限公司	105	7	28	9.5	1270	1631889.00 	0	0	0	4020
長生電力股份有限公司	105	8	3	9.5	1270	1611618.00 	0	0	0	250
長生電力股份有限公司	105	8	10	9.5	1270	1725015.00 	0	0	0	320
長生電力股份有限公司	105	8	17	9.5	1270	1523437.00 	0	0	0	372
長生電力股份有限公司	105	8	24	9.5	1270	1686774.00 	0	0	0	318
長生電力股份有限公司	105	8	31	9.5	1270	1517744.00 	0	0	0	296
長生電力股份有限公司	105	9	6	9.5	1270	1407782.00 	0	0	0	5070
長生電力股份有限公司	105	9	7	9.5	1270	1402034.00 	0	0	0	256
長生電力股份有限公司	105	9	14	9.5	1270	1018126.00 	0	0	0	282
長生電力股份有限公司	105	9	21	9.5	1270	1404928.00 	0	0	0	308
長生電力股份有限公司	105	9	28	9.5	1270	2004480.00 	0	0	0	240
長生電力股份有限公司	105	10	5	9.5	1270	1407637.00 	0	0	0	290
長生電力股份有限公司	105	10	6	9.5	1270	1214450.00 	0	0	0	4170
長生電力股份有限公司	105	10	12	9.5	1270	1221289.00 	0	0	0	326
長生電力股份有限公司	105	10	19	9.5	1270	1811154.00 	0	0	0	326
長生電力股份有限公司	105	10	26	9.5	1270	1828148.00 	0	0	0	310
長生電力股份有限公司	106	4	20	9.5	1270	1002240.00 	0	0	0	11490
長生電力股份有限公司	106	6	1	9.5	1270	1863308.00 	0	0	0	3780
長生電力股份有限公司	106	7	5	9.5	1270	1653754.00 	0	0	0	1700
長生電力股份有限公司	106	8	21	9.5	1270	1660476.00 	0	0	0	3920
麥寮汽電股份有限公司	104	1		18	2778	15552000.00 	0	3850	0	0
麥寮汽電股份有限公司	104	2		18	2778	15552000.00 	0	1110	0	0
麥寮汽電股份有限公司	104	3		18	2778	15552000.00 	0	3130	0	0
麥寮汽電股份有限公司	104	4		18	2778	15552000.00 	0	530	0	0
麥寮汽電股份有限公司	104	5		18	2778	15552000.00 	0	1700	0	0
麥寮汽電股份有限公司	104	6		18	2778	15552000.00 	0	3360	0	0
麥寮汽電股份有限公司	104	7		18	2778	15552000.00 	0	3840	0	0
麥寮汽電股份有限公司	104	8		18	2778	15552000.00 	0	2200	0	0
麥寮汽電股份有限公司	104	9		18	2778	15552000.00 	0	2620	0	0
麥寮汽電股份有限公司	104	10		18	2778	15552000.00 	0	4310	0	0
麥寮汽電股份有限公司	104	11		18	2778	15552000.00 	0	2750	0	0
麥寮汽電股份有限公司	104	12		18	2778	15552000.00 	0	0	0	0
麥寮汽電股份有限公司	105	1		18	2778	15552000.00 	0	0	0	0
麥寮汽電股份有限公司	105	2		18	2778	15552000.00 	0	0	0	0
麥寮汽電股份有限公司	105	3		18	2778	15552000.00 	0	1350	0	0
麥寮汽電股份有限公司	105	4		18	2778	15552000.00 	0	0	0	0
麥寮汽電股份有限公司	105	5		18	2778	15552000.00 	0	0	0	0
麥寮汽電股份有限公司	105	6		18	2778	15552000.00 	0	1650	0	0
麥寮汽電股份有限公司	105	7		18	2778	15552000.00 	0	2190	0	0
麥寮汽電股份有限公司	105	8		18	2778	15552000.00 	0	4460	0	0
麥寮汽電股份有限公司	105	9		18	2778	15552000.00 	0	2850	0	0
麥寮汽電股份有限公司	105	10		18	2778	15552000.00 	0	27690	0	0
麥寮汽電股份有限公司	105	11		18	2778	15552000.00 	0	12500	0	0
麥寮汽電股份有限公司	105	12		18	2778	15552000.00 	0	37160	0	0
麥寮汽電股份有限公司	106	1		18	2778	15552000.00 	0	3480	0	0
麥寮汽電股份有限公司	106	2		18	2778	15552000.00 	0	12960	0	0
麥寮汽電股份有限公司	106	3		18	2778	15552000.00 	0	4080	0	0
麥寮汽電股份有限公司	106	4		18	2778	15552000.00 	0	3126	0	0
麥寮汽電股份有限公司	106	5		18	2778	15552000.00 	0	5000	0	0
麥寮汽電股份有限公司	106	6		18	2778	15552000.00 	0	3190	0	0
麥寮汽電股份有限公司	106	7		18	2778	15552000.00 	0	6240	0	0
麥寮汽電股份有限公司	106	8		18	2778	15552000.00 	0	2200	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	1	16	6		19444320.00 	0	180	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	1	23	6		14622243.00 	0	50	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	1	30	6		14823522.00 	0	90	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	2	6	6		14586246.00 	0	10	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	2	13	6		18444009.00 	0	200	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	2	17	6		11111040.00 	0	70	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	2	26	6		24999840.00 	0	120	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	3	6	6		22222080.00 	0	120	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	3	13	6		19444320.00 	0	80	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	3	20	6		14621229.00 	0	110	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	3	27	6		14487888.00 	0	23860	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	4	2	6		13392861.00 	0	100	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	4	10	6		18946953.00 	0	80	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	4	17	6		15332904.00 	0	150	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	4	24	6		15331680.00 	0	1920	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	4	30	6		13141440.00 	0	50	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	5	8	6		17521920.00 	0	130	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	5	15	6		15331680.00 	0	60	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	5	22	6		15476928.00 	0	190	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	5	29	6		16288440.00 	0	190	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	6	5	6		19444320.00 	0	240	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	6	12	6		19444320.00 	0	310	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	6	18	6		16666560.00 	0	370	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	6	26	6		22222080.00 	0	350	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	7	6	6		27777600.00 	0	560	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	7	10	6		11111040.00 	0	580	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	7	17	6		19444320.00 	0	440	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	7	24	6		19444320.00 	0	460	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	7	31	6		19444320.00 	0	370	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	8	7	6		19444320.00 	0	930	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	8	14	6		19444320.00 	0	560	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	8	21	6		19444320.00 	0	440	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	8	28	6		19444320.00 	0	440	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	9	4	6		19444320.00 	0	620	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	9	11	6		19444320.00 	0	280	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	9	18	6		19444320.00 	0	170	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	9	25	6		19444320.00 	0	32680	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	10	2	6		19126431.00 	0	950	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	10	8	6		12286080.00 	0	1030	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	10	21	6		26618418.00 	0	70	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	10	3	6		4095360.00 	0	80	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	10	29	6		12286080.00 	0	100	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	11	6	6		16381440.00 	0	260	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	11	13	6		14333760.00 	0	480	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	11	20	6		14333760.00 	0	90	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	11	27	6		14066571.00 	0	90	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	12	4	6		14333760.00 	0	110	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	12	11	6		14333760.00 	0	760	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	12	18	6		14333760.00 	0	340	0	0
"台灣電力股份有限公司
(南部發電廠)"	104	12	25	6		19079280.00 	0	230	0	0
"台灣電力股份有限公司
(南部發電廠)"	105	1	5	6		30555360.00 	0	130	0	0
"台灣電力股份有限公司
(南部發電廠)"	105	1	11	6		16666560.00 	0	590	0	0
