WGS84Lati,WGS84Long,國家公園,調查年份,哺乳類,鳥類,爬蟲類,兩棲類,魚類,昆蟲類,貝類,珊瑚類,甲殼類,其他動物,  單子葉植物,  雙子葉植物, 裸子植物, 蕨類植物, 苔蘚類植物,  藻類植物, 菌類植物,  其他植物
24.444165,118.352824,金門國家公園,2003,15,287,14,5,52,35,400,58,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2004,15,287,14,5,52,35,400,216,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2005,15,287,14,5,52,35,400,216,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2006,15,287,14,5,52,35,400,216,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2007,15,287,14,5,52,35,597,216,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2008,,,,,,,,,,,,,,,,,,
24.444165,118.352824,金門國家公園,2009,15,287,14,5,87,597,216,0,0,2,153,351,2,36,0,57,0,0
24.444165,118.352824,金門國家公園,2010,15,287,14,5,87,597,216,0,0,2,238,529,1,52,0,57,0,0
24.444165,118.352824,金門國家公園,2011,15,305,14,5,87,597,216,0,0,2,238,529,1,52,0,57,0,0
24.444165,118.352824,金門國家公園,2012,,,,,,,,,,,,,,,,,,
24.444165,118.352824,金門國家公園,2013,15,305,14,5,87,843,216,0,0,2,238,529,1,52,0,57,0,0
24.444165,118.352824,金門國家公園,2014,15,305,14,5,87,843,216,0,0,2,238,529,1,52,0,57,0,0
20.698432,116.733642,東沙環礁國家公園,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2006,3,140,2,0,556,125,175,264,33,94,41,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2007,3,186,2,0,577,392,204,281,43,96,41,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2008,,,,,,,,,,,,,,,,,,
20.698432,116.733642,東沙環礁國家公園,2009,3,231,2,0,577,392,204,281,43,29,42,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2010,3,241,2,0,643,392,204,281,43,57,42,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2011,3,243,2,0,679,392,230,304,43,30,42,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2012,,,,,,,,,,,,,,,,,,
20.698432,116.733642,東沙環礁國家公園,2013,5,271,4,0,690,141,341,321,134,130,42,166,2,1,0,176,0,0
20.698432,116.733642,東沙環礁國家公園,2014,5,271,4,0,693,141,410,321,134,61,42,173,2,1,0,176,0,0
23.003383,120.135666,台江國家公園,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2007,32,200,5,5,240,26,205,0,49,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2008,,,,,,,,,,,,,,,,,,
23.003383,120.135666,台江國家公園,2009,32,200,5,5,240,26,205,0,49,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2010,32,200,5,5,240,26,205,0,49,0,38,181,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2011,32,303,5,5,258,26,205,0,49,0,53,181,0,4,0,0,0,0
23.003383,120.135666,台江國家公園,2012,,,,,,,,,,,,,,,,,,
23.003383,120.135666,台江國家公園,2013,32,303,5,5,367,26,205,0,53,0,77,301,5,9,0,0,0,0
23.003383,120.135666,台江國家公園,2014,33,303,6,5,367,800,205,0,70,0,103,289,0,4,0,26,0,0
23.248965,119.615682,澎湖南方四島,2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2015,5,55,9,2,254,15,64,154,22,24,193,655,8,55,0,6,0,0
=======
WGS84Lati,WGS84Long,國家公園,調查年份,哺乳類,鳥類,爬蟲類,兩棲類,魚類,昆蟲類,貝類,珊瑚類,甲殼類,其他動物,  單子葉植物,  雙子葉植物, 裸子植物, 蕨類植物, 苔蘚類植物,  藻類植物, 菌類植物,  其他植物
21.94844,120.779977,墾丁國家公園,2001,56,321,45,19,1202,866,801,327,382,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2002,40,322,48,19,1202,866,801,327,382,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2003,56,332,48,19,1202,866,801,327,382,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2004,56,333,48,19,1202,866,801,327,382,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2005,56,333,48,19,1202,866,801,327,382,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2006,56,333,48,19,1202,866,801,327,382,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2007,56,333,48,19,1202,866,801,327,382,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2008,,,,,,,,,,,,,,,,,,
21.94844,120.779977,墾丁國家公園,2009,42,340,49,18,1373,866,801,327,386,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2010,42,340,49,18,1382,916,801,327,394,142,244,742,13,149,109,161,233,280
21.94844,120.779977,墾丁國家公園,2011,42,335,58,22,1425,916,735,385,405,502,244,742,13,149,109,161,233,270
21.94844,120.779977,墾丁國家公園,2012,,,,,,,,,,,,,,,,,,
21.94844,120.779977,墾丁國家公園,2013,42,335,58,22,1441,1239,735,385,405,502,244,742,13,149,109,161,233,270
21.94844,120.779977,墾丁國家公園,2014,42,336,58,22,1441,1243,735,385,405,503,244,742,13,149,109,161,234,270
23.47055,120.960717,玉山國家公園,2001,34,151,17,12,12,780,0,0,0,0,181,803,17,238,177,0,147,0
23.47055,120.960717,玉山國家公園,2002,46,151,17,12,12,780,0,0,0,0,259,707,22,257,177,0,147,0
23.47055,120.960717,玉山國家公園,2003,50,151,18,13,12,780,0,0,0,0,414,1355,28,372,177,0,147,0
23.47055,120.960717,玉山國家公園,2004,51,151,18,13,12,780,0,0,0,0,424,1395,28,395,177,0,147,0
23.47055,120.960717,玉山國家公園,2005,51,151,18,13,12,780,0,0,0,0,424,1395,28,395,177,0,147,0
23.47055,120.960717,玉山國家公園,2006,55,151,18,13,12,780,0,0,0,0,424,1395,28,395,177,0,147,0
23.47055,120.960717,玉山國家公園,2007,55,151,18,13,12,799,0,0,0,0,424,1395,28,395,177,0,147,0
23.47055,120.960717,玉山國家公園,2008,,,,,,,,,,,,,,,,,,
23.47055,120.960717,玉山國家公園,2009,58,189,18,13,12,826,29,0,0,0,424,1446,28,437,177,0,147,0
23.47055,120.960717,玉山國家公園,2010,58,191,18,13,12,826,29,0,0,0,426,1469,28,437,177,0,147,0
23.47055,120.960717,玉山國家公園,2011,58,191,18,13,12,826,29,0,0,0,426,1469,28,437,177,0,147,0
23.47055,120.960717,玉山國家公園,2012,,,,,,,,,,,,,,,,,,
23.47055,120.960717,玉山國家公園,2013,58,191,18,13,12,826,29,0,0,0,426,1497,28,441,177,0,147,0
23.47055,120.960717,玉山國家公園,2014,58,191,18,13,12,826,29,0,0,0,426,1497,28,441,177,0,147,0
25.194285,121.561159,陽明山國家公園,2001,21,110,48,22,22,650,5,0,0,1,351,831,2,175,123,50,210,0
25.194285,121.561159,陽明山國家公園,2002,21,120,48,22,22,650,5,0,0,1,351,831,2,195,123,50,210,0
25.194285,121.561159,陽明山國家公園,2003,21,120,48,22,22,650,5,0,2,1,351,831,2,195,123,50,210,11
25.194285,121.561159,陽明山國家公園,2004,21,120,48,22,22,650,5,0,2,1,351,832,2,195,123,50,210,11
25.194285,121.561159,陽明山國家公園,2005,21,120,48,22,22,650,5,0,2,1,351,832,2,195,123,50,210,11
25.194285,121.561159,陽明山國家公園,2006,21,120,48,22,22,650,5,0,2,1,351,832,2,195,123,50,210,11
25.194285,121.561159,陽明山國家公園,2007,21,120,48,22,22,650,5,0,2,1,351,832,2,195,123,90,210,11
25.194285,121.561159,陽明山國家公園,2008,,,,,,,,,,,,,,,,,,
25.194285,121.561159,陽明山國家公園,2009,21,122,53,22,22,650,5,0,2,7,351,832,2,195,123,90,210,11
25.194285,121.561159,陽明山國家公園,2010,21,122,53,22,22,650,5,0,2,7,351,832,2,195,123,90,210,11
25.194285,121.561159,陽明山國家公園,2011,21,122,53,22,22,650,5,0,2,10,351,832,2,195,123,90,210,11
25.194285,121.561159,陽明山國家公園,2012,,,,,,,,,,,,,,,,,,
25.194285,121.561159,陽明山國家公園,2013,34,123,53,22,22,662,5,0,2,13,351,832,2,195,123,90,210,11
25.194285,121.561159,陽明山國家公園,2014,34,123,53,23,22,1091,5,0,5,13,411,1021,7,248,123,90,210,11
24.194279,121.491049,太魯閣國家公園,2001,37,144,28,13,17,912,18,0,20,0,269,809,18,259,0,0,0,0
24.194279,121.491049,太魯閣國家公園,2002,38,144,28,13,17,912,48,0,20,0,269,809,18,259,0,0,0,0
24.194279,121.491049,太魯閣國家公園,2003,38,144,28,13,17,912,48,0,21,0,344,1100,17,348,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2004,46,146,34,15,21,912,55,0,22,0,355,1166,17,370,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2005,46,146,34,15,21,912,55,0,22,0,355,1166,17,370,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2006,46,152,35,15,21,920,55,0,22,0,355,1166,17,370,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2007,46,152,35,15,21,1150,55,0,22,0,355,1166,17,370,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2008,,,,,,,,,,,,,,,,,,
24.194279,121.491049,太魯閣國家公園,2009,46,152,35,15,21,1150,55,0,22,0,355,1166,17,370,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2010,46,152,35,15,21,1150,55,0,22,0,355,1166,17,370,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2011,46,161,35,15,21,1150,55,0,22,0,355,1166,17,370,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2012,,,,,,,,,,,,,,,,,,
24.194279,121.491049,太魯閣國家公園,2013,46,173,35,15,21,1150,55,0,22,0,355,1166,17,370,185,0,0,0
24.194279,121.491049,太魯閣國家公園,2014,71,210,35,15,21,1150,55,0,22,0,355,1166,17,370,185,0,0,0
24.362418,121.125246,雪霸國家公園,2001,33,119,19,6,16,384,0,0,0,6,155,708,19,223,0,57,0,0
24.362418,121.125246,雪霸國家公園,2002,33,119,19,6,16,580,0,0,0,6,155,708,19,223,0,80,0,0
24.362418,121.125246,雪霸國家公園,2003,33,150,19,11,16,580,0,0,0,6,155,708,19,223,0,80,119,0
24.362418,121.125246,雪霸國家公園,2004,33,150,26,13,16,580,0,0,0,6,155,708,19,223,0,80,119,0
24.362418,121.125246,雪霸國家公園,2005,33,150,26,13,16,580,0,0,0,6,155,708,19,223,0,80,119,0
24.362418,121.125246,雪霸國家公園,2006,56,151,37,16,17,580,0,0,0,6,155,708,19,223,0,80,119,0
24.362418,121.125246,雪霸國家公園,2007,56,151,37,16,17,580,0,0,0,6,155,708,19,223,0,80,119,0
24.362418,121.125246,雪霸國家公園,2008,,,,,,,,,,,,,,,,,,
24.362418,121.125246,雪霸國家公園,2009,57,151,37,16,17,580,0,0,0,6,349,1252,31,344,0,80,210,0
24.362418,121.125246,雪霸國家公園,2010,57,151,37,16,17,580,18,0,0,6,349,1252,31,344,92,80,210,0
24.362418,121.125246,雪霸國家公園,2011,58,154,39,16,17,580,18,0,0,6,349,1252,31,344,156,80,210,0
24.362418,121.125246,雪霸國家公園,2012,,,,,,,,,,,,,,,,,,
24.362418,121.125246,雪霸國家公園,2013,60,154,39,16,17,580,18,0,0,6,349,1252,31,344,156,80,210,0
24.362418,121.125246,雪霸國家公園,2014,60,154,39,16,17,580,18,0,0,6,,,,,,,,
24.444165,118.352824,金門國家公園,2001,12,287,14,5,51,35,400,58,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2002,15,287,14,5,52,35,400,58,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2003,15,287,14,5,52,35,400,58,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2004,15,287,14,5,52,35,400,216,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2005,15,287,14,5,52,35,400,216,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2006,15,287,14,5,52,35,400,216,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2007,15,287,14,5,52,35,597,216,0,2,153,351,2,36,0,0,0,0
24.444165,118.352824,金門國家公園,2008,,,,,,,,,,,,,,,,,,
24.444165,118.352824,金門國家公園,2009,15,287,14,5,87,597,216,0,0,2,153,351,2,36,0,57,0,0
24.444165,118.352824,金門國家公園,2010,15,287,14,5,87,597,216,0,0,2,238,529,1,52,0,57,0,0
24.444165,118.352824,金門國家公園,2011,15,305,14,5,87,597,216,0,0,2,238,529,1,52,0,57,0,0
24.444165,118.352824,金門國家公園,2012,,,,,,,,,,,,,,,,,,
24.444165,118.352824,金門國家公園,2013,15,305,14,5,87,843,216,0,0,2,238,529,1,52,0,57,0,0
24.444165,118.352824,金門國家公園,2014,15,305,14,5,87,843,216,0,0,2,238,529,1,52,0,57,0,0
20.698432,116.733642,東沙環礁國家公園,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.698432,116.733642,東沙環礁國家公園,2006,3,140,2,0,556,125,175,264,33,94,41,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2007,3,186,2,0,577,392,204,281,43,96,41,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2008,,,,,,,,,,,,,,,,,,
20.698432,116.733642,東沙環礁國家公園,2009,3,231,2,0,577,392,204,281,43,29,42,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2010,3,241,2,0,643,392,204,281,43,57,42,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2011,3,243,2,0,679,392,230,304,43,30,42,166,2,1,0,148,0,28
20.698432,116.733642,東沙環礁國家公園,2012,,,,,,,,,,,,,,,,,,
20.698432,116.733642,東沙環礁國家公園,2013,5,271,4,0,690,141,341,321,134,130,42,166,2,1,0,176,0,0
20.698432,116.733642,東沙環礁國家公園,2014,5,271,4,0,693,141,410,321,134,61,42,173,2,1,0,176,0,0
23.003383,120.135666,台江國家公園,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2007,32,200,5,5,240,26,205,0,49,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2008,,,,,,,,,,,,,,,,,,
23.003383,120.135666,台江國家公園,2009,32,200,5,5,240,26,205,0,49,0,0,0,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2010,32,200,5,5,240,26,205,0,49,0,38,181,0,0,0,0,0,0
23.003383,120.135666,台江國家公園,2011,32,303,5,5,258,26,205,0,49,0,53,181,0,4,0,0,0,0
23.003383,120.135666,台江國家公園,2012,,,,,,,,,,,,,,,,,,
23.003383,120.135666,台江國家公園,2013,32,303,5,5,367,26,205,0,53,0,77,301,5,9,0,0,0,0
23.003383,120.135666,台江國家公園,2014,33,303,6,5,367,800,205,0,70,0,103,289,0,4,0,26,0,0
23.248965,119.615682,澎湖南方四島,2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.248965,119.615682,澎湖南方四島,2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
