SITE,年,季節,蛙種,數量,縣市,鄉鎮,地點,環境型態,經度,緯度
1,2012,S3,貢德氏赤蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S3,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S3,黑眶蟾蜍,5,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S3,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S3,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,布氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,貢德氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,黑眶蟾蜍,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2012,S4,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,布氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,貢德氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,莫氏樹蛙,3,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,黑眶蟾蜍,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S1,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,小雨蛙,5,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,布氏樹蛙,2,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,虎皮蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,貢德氏赤蛙,3,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,黑眶蟾蜍,5,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S2,澤蛙,2,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,小雨蛙,8,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,布氏樹蛙,2,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,貢德氏赤蛙,3,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,黑眶蟾蜍,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,腹斑蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S3,澤蛙,5,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,布氏樹蛙,7,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,貢德氏赤蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,黑眶蟾蜍,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2013,S4,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,布氏樹蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,貢德氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,莫氏樹蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,黑眶蟾蜍,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S1,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,小雨蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,布氏樹蛙,6,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,貢德氏赤蛙,8,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,莫氏樹蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,黑眶蟾蜍,3,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S2,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,布氏樹蛙,6,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,貢德氏赤蛙,13,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,黑眶蟾蜍,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S3,澤蛙,2,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,布氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,貢德氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,黑眶蟾蜍,3,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2014,S4,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,布氏樹蛙,2,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,貢德氏赤蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,黑眶蟾蜍,4,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S2,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,布氏樹蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,貢德氏赤蛙,7,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,黑眶蟾蜍,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S3,澤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,小雨蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,布氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,拉都希氏赤蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,虎皮蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,貢德氏赤蛙,1,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,莫氏樹蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,黑眶蟾蜍,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,腹斑蛙,0,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
1,2015,S4,澤蛙,2,花蓮縣,花蓮市,南濱魚池,墾地,121.608139,23.968301
2,2010,S2,小雨蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,日本樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,布氏樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,艾氏樹蛙,7,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,拉都希氏赤蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,長腳赤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,美洲牛蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,面天樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,貢德氏赤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,斑腿樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,斯文豪氏赤蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,黑眶蟾蜍,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,腹斑蛙,3,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,福建大頭蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,翡翠樹蛙,5,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,臺北樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,盤古蟾蜍,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,褐樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2010,S2,澤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,小雨蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,日本樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,布氏樹蛙,3,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,艾氏樹蛙,11,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,拉都希氏赤蛙,5,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,長腳赤蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,美洲牛蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,面天樹蛙,6,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,貢德氏赤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,斑腿樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,斯文豪氏赤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,黑眶蟾蜍,9,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,腹斑蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,福建大頭蛙,5,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,翡翠樹蛙,4,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,臺北樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,盤古蟾蜍,15,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,褐樹蛙,15,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S2,澤蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,小雨蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,日本樹蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,布氏樹蛙,3,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,艾氏樹蛙,6,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,拉都希氏赤蛙,11,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,長腳赤蛙,3,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,美洲牛蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,面天樹蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,貢德氏赤蛙,3,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,斑腿樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,斯文豪氏赤蛙,4,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,黑眶蟾蜍,9,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,腹斑蛙,10,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,福建大頭蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,翡翠樹蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,臺北樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,盤古蟾蜍,8,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,褐樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S3,澤蛙,11,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,小雨蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,日本樹蛙,3,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,布氏樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,艾氏樹蛙,5,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,拉都希氏赤蛙,6,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,長腳赤蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,美洲牛蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,面天樹蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,貢德氏赤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,斑腿樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,斯文豪氏赤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,黑眶蟾蜍,15,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,腹斑蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,福建大頭蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,翡翠樹蛙,17,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,臺北樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,盤古蟾蜍,20,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,褐樹蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2012,S4,澤蛙,6,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,小雨蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,日本樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,布氏樹蛙,8,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,艾氏樹蛙,22,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,拉都希氏赤蛙,11,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,長腳赤蛙,15,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,美洲牛蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,面天樹蛙,7,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,貢德氏赤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,斑腿樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,斯文豪氏赤蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,黑眶蟾蜍,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,腹斑蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,福建大頭蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,翡翠樹蛙,23,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,臺北樹蛙,19,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,盤古蟾蜍,16,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,褐樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S1,澤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,小雨蛙,5,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,日本樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,布氏樹蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,艾氏樹蛙,16,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,拉都希氏赤蛙,13,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,長腳赤蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,美洲牛蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,面天樹蛙,12,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,貢德氏赤蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,斑腿樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,斯文豪氏赤蛙,16,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,黑眶蟾蜍,5,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,腹斑蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,福建大頭蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,翡翠樹蛙,4,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,臺北樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,盤古蟾蜍,24,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,褐樹蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S2,澤蛙,3,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,小雨蛙,7,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,日本樹蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,布氏樹蛙,12,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,艾氏樹蛙,15,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,拉都希氏赤蛙,6,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,長腳赤蛙,4,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,美洲牛蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,面天樹蛙,15,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,貢德氏赤蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,斑腿樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,斯文豪氏赤蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,黑眶蟾蜍,4,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,腹斑蛙,8,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,福建大頭蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,翡翠樹蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,臺北樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,盤古蟾蜍,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,褐樹蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S3,澤蛙,2,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S4,小雨蛙,0,新北市,土城區,山中湖,墾地,121.466391,24.95498
2,2013,S4,日本樹蛙,1,新北市,土城區,山中湖,墾地,121.466391,24.95498
