waterBody	siteName	waterQuality	month	season	siteCode	samplingDepth	temperature	waterTempeature	salinity	pH	DOByTitration	DOByElectrode	DOSaturation	SS	SSMethodLimit	chlorophyllA	chlorophyllAMethodLimit	ammoniaN	ammoniaNMethodLimit	nitrateN	nitrateNMethodLimit	PH4N	PH4NMethodLimit	nitriteN	nitriteNMethodLimit	silicate	silicateMethodLimit	Cd	CdMethodLimit	Cr	CrMethodLimit	Cu	CuMethidLimit	Zn	ZnMethodLimit	Pb	PbMethodLimit	Hg	HgMethodLimit	year
基隆沿海海域	基隆拋泥區一	乙	1	1	5125	1	17.5	17.3	35.2	8.1	7.2	7.1	90.5	6.3	NA	0.2	NA	0	0.02	0.12	NA	0.051	NA	0.004	NA	0.708	NA	0.00004	NA	0.001	NA	0.0005	NA	0.0143	NA	0.0002	NA	0	0.0003	2008
基隆沿海海域	基隆拋泥區一	乙	1	1	5125	1	17.2	17.8	36	8.2	NA	6.5	84.5	8.5	NA	0.3	NA	0	0.01	0.11	NA	0.048	NA	0.002	NA	0.556	NA	0.00002	NA	0	0.001	0.0005	NA	0.0034	NA	0.0001	NA	0	0.0003	2015
基隆沿海海域	八斗子垃圾場	乙	1	1	5126	1	17.4	17.7	36	8.1	NA	6.9	89.5	7.8	NA	0.3	NA	0.01	NA	0.11	NA	0.053	NA	0.002	NA	0.603	NA	0.00004	NA	0	0.001	0.0007	NA	0.0036	NA	0.0003	NA	0	0.0003	2015
基隆沿海海域	八斗子垃圾場	乙	1	1	5126	1	17.7	17.4	35.2	8.1	7.4	7.4	94.8	6.2	NA	0.3	NA	0	0.02	0.12	NA	0.054	NA	0.003	NA	0.729	NA	0.00006	NA	0.0012	NA	0.0005	NA	0.0098	NA	0.0002	NA	0	0.0003	2008
基隆沿海海域	八斗子垃圾場	乙	1	1	5126	1	17.3	17.3	34.6	8.1	7.1	6.8	86.5	0	2	0.3	NA	0	0.01	0.12	NA	0.053	NA	0.003	NA	0.746	NA	0.00002	NA	0	0.001	0.0005	NA	0.0054	NA	0.0002	NA	0	0.0003	2010
基隆沿海海域	八斗子垃圾場	乙	1	1	5126	1	13.8	18.4	34.3	8.2	NA	7	90.2	4.4	NA	0.3	NA	0.17	NA	0.1	NA	0.038	NA	0.003	NA	0.537	NA	0.00001	NA	0	0.001	0.0006	NA	0.0016	NA	0.0002	NA	0	0.0003	2016
基隆沿海海域	和平島	乙	1	1	5127	1	17.8	17.2	35.1	8.1	7.3	7.3	92.4	6.3	NA	0.3	NA	0	0.02	0.12	NA	0.045	NA	0.003	NA	0.722	NA	0.00004	NA	0.001	NA	0.0006	NA	0.0133	NA	0	0.0002	0	0.0003	2008
基隆沿海海域	和平島	乙	1	1	5127	1	15.2	18.4	34.1	8.2	NA	6.9	87.9	5.4	NA	0.3	NA	0	0.01	0.21	NA	0.041	NA	0.002	NA	0.54	NA	0.00001	NA	0	0.001	0.0002	NA	0.0008	NA	0	0.0001	0	0.0003	2016
基隆沿海海域	和平島	乙	1	1	5127	1	17.5	17.3	34.7	8.1	7	6.8	85.8	0	2	0.3	NA	0	0.01	0.12	NA	0.056	NA	0.004	NA	0.759	NA	0.00002	NA	0	0.001	0.0008	NA	0.0079	NA	0.0003	NA	0	0.0003	2010
基隆沿海海域	和平島	乙	1	1	5127	1	17.2	17.9	35.9	8.1	NA	6.6	86.4	8.2	NA	0.4	NA	0.05	NA	0.11	NA	0.056	NA	0.002	NA	0.618	NA	0.00003	NA	0	0.001	0.0006	NA	0.0038	NA	0.0001	NA	0	0.0003	2015
台北沿海海域(甲)	核四預定地外海	甲	1	1	5128	1	18	17.3	34.8	8	8.1	8	99.5	6	NA	0.5	NA	0.02	NA	0.15	NA	0.042	NA	0.003	NA	1.24	NA	0.00002	NA	0	0.001	0.0004	NA	0.0084	NA	0	0.0002	0	0.0003	2008
台北沿海海域(甲)	核四預定地外海	甲	1	1	5128	1	17.9	18.5	35.9	8.3	NA	6.3	82.7	8.8	NA	0.5	NA	0.09	NA	0.11	NA	0.049	NA	0.002	NA	0.495	NA	0.00005	NA	0	0.001	0.0039	NA	0.0118	NA	0.0008	NA	0	0.0003	2015
台北沿海海域(甲)	核四預定地外海	甲	1	1	5128	1	17.1	17.9	34.5	8	7.6	7.5	95.7	0	2	0.3	NA	0	0.01	0.11	NA	0.047	NA	0.003	NA	0.766	NA	0.00002	NA	0	0.001	0.0005	NA	0.004	NA	0.0004	NA	0	0.0003	2010
台北沿海海域(甲)	核四預定地外海	甲	1	1	5128	1	10.6	18	34.3	8.2	NA	7	89.2	2.8	NA	0.2	NA	0.04	NA	0.12	NA	0.004	NA	0.003	NA	0.643	NA	0.00001	NA	0	0.001	0.0003	NA	0.0018	NA	0.0002	NA	0	0.0003	2016
台北沿海海域(乙)	濂洞溪外海	乙	1	1	5129	1	17.9	17.2	34.8	8.1	7.8	7.7	98.7	6	NA	0.3	NA	0.05	NA	0.12	NA	0.054	NA	0.002	NA	0.725	NA	0.00005	NA	0.001	NA	0.0006	NA	0.0079	NA	0	0.0002	0	0.0003	2008
台北沿海海域(乙)	濂洞溪外海	乙	1	1	5129	1	17.7	17.5	34.8	7.9	NA	6.9	89	16.7	NA	0.3	NA	0.04	NA	0.13	NA	0.046	NA	0.003	NA	1.55	NA	0.00008	NA	0	0.001	0.0327	NA	0.01	NA	0	0.0001	0	0.0003	2015
台北沿海海域(乙)	濂洞溪外海	乙	1	1	5129	1	12.3	17.9	33.8	8.1	NA	7.5	94.7	6.2	NA	0.2	NA	0.02	NA	0.12	NA	0.012	NA	0.002	NA	0.878	NA	0.00003	NA	0	0.001	0.0257	NA	0.0041	NA	0	0.0001	0	0.0003	2016
台北沿海海域(乙)	濂洞溪外海	乙	1	1	5129	1	16.9	17.2	34.5	8	7.4	7.5	94	7.6	NA	0.2	NA	0	0.01	0.12	NA	0.032	NA	0.003	NA	0.883	NA	0.00002	NA	0	0.001	0.0005	NA	0.0027	NA	0.0002	NA	0	0.0003	2010
台北沿海海域(乙)	八里污水廠外海一	乙	1	1	5130	1	17.5	17.8	34.7	8.1	7.6	7.5	97.6	14.3	NA	0.3	NA	0.03	NA	0.11	NA	0.045	NA	0.004	NA	0.637	NA	0.00004	NA	0.001	NA	0.0019	NA	0.014	NA	0	0.0002	0	0.0003	2008
台北沿海海域(乙)	八里污水廠外海一	乙	1	1	5130	1	18.3	18.1	34.3	8.1	NA	7.7	100.3	13.4	NA	1.1	NA	0.06	NA	0.15	NA	0.066	NA	0.01	NA	0.603	NA	0.00001	NA	0	0.001	0.0006	NA	0.0026	NA	0	0.0001	0	0.0003	2015
台北沿海海域(乙)	八里污水廠外海一	乙	1	1	5130	1	16	17.2	31.9	8.2	NA	7.5	95	16	NA	0.4	NA	0.05	NA	0.19	NA	0.056	NA	0.006	NA	0.842	NA	0.00001	NA	0	0.001	0.0005	NA	0.0013	NA	0	0.0001	0	0.0003	2016
台北沿海海域(乙)	八里污水廠外海一	乙	1	1	5130	1	18.5	18.1	33.5	8	7.4	7.2	91.9	6.5	NA	0.6	NA	0.03	NA	0.12	NA	0.054	NA	0.011	NA	0.638	NA	0.00003	NA	0	0.001	0.0007	NA	0.003	NA	0.0003	NA	0	0.0003	2010
台北沿海海域(乙)	八里污水廠外海二	乙	1	1	5131	1	15.9	17.2	32.9	8.2	NA	7.3	92.4	19.1	NA	0.3	NA	0.04	NA	0.16	NA	0.05	NA	0.005	NA	0.719	NA	0.00002	NA	0	0.001	0.0004	NA	0.0015	NA	0	0.0001	0	0.0003	2016
台北沿海海域(乙)	八里污水廠外海二	乙	1	1	5131	1	17.6	17.9	34.9	8.1	7.6	7.5	97.4	13	NA	0.2	NA	0	0.02	0.1	NA	0.048	NA	0.004	NA	0.586	NA	0.00003	NA	0.0011	NA	0.0008	NA	0.0126	NA	0.0003	NA	0	0.0003	2008
台北沿海海域(乙)	八里污水廠外海二	乙	1	1	5131	1	17.9	18	33.8	8	7.6	7.4	93.9	5.4	NA	0.5	NA	0.01	NA	0.11	NA	0.046	NA	0.009	NA	0.568	NA	0.00002	NA	0	0.001	0.0005	NA	0.0032	NA	0.0002	NA	0	0.0003	2010
台北沿海海域(乙)	八里污水廠外海二	乙	1	1	5131	1	18.4	18.3	34.6	8.1	NA	7.1	91.6	13.1	NA	1.1	NA	0.02	NA	0.14	NA	0.053	NA	0.007	NA	0.575	NA	0.00002	NA	0	0.001	0.0007	NA	0.0027	NA	0.0002	NA	0	0.0003	2015
台北沿海海域(乙)	林口發電廠外海	乙	1	1	5132	1	18.3	17.5	33.3	8.2	7.7	7.5	95.3	5.2	NA	0.7	NA	0.05	NA	0.14	NA	0.054	NA	0.015	NA	0.782	NA	0.00002	NA	0	0.001	0.0005	NA	0.0031	NA	0.0003	NA	0	0.0003	2010
台北沿海海域(乙)	林口發電廠外海	乙	1	1	5132	1	17.8	16.8	32.4	8.2	NA	7.8	95.9	28.5	NA	0.4	NA	0.05	NA	0.21	NA	0.081	NA	0.009	NA	0.941	NA	0.00002	NA	0	0.001	0.0006	NA	0.0025	NA	0.0002	NA	0	0.0003	2016
台北沿海海域(乙)	林口發電廠外海	乙	1	1	5132	1	17.4	17.2	34.6	8.2	NA	7.5	95.4	15.3	NA	1	NA	0.06	NA	0.15	NA	0.076	NA	0.012	NA	0.335	NA	0.00002	NA	0	0.001	0.0008	NA	0.0035	NA	0.0001	NA	0	0.0003	2015
台北沿海海域(乙)	深澳發電廠外海	乙	1	1	5133	1	17.7	17.4	35.2	8.1	7.4	7.5	94.7	5.5	NA	0.3	NA	0.04	NA	0.12	NA	0.051	NA	0.003	NA	0.722	NA	0.00009	NA	0.001	NA	0.0005	NA	0.0135	NA	0	0.0002	0	0.0003	2008
台北沿海海域(乙)	深澳發電廠外海	乙	1	1	5133	1	12.5	18	34.2	8.2	NA	7.2	92.1	5.7	NA	0.3	NA	0.02	NA	0.11	NA	0.035	NA	0.003	NA	0.573	NA	0.00001	NA	0	0.001	0.0044	NA	0.0017	NA	0	0.0001	0	0.0003	2016
台北沿海海域(乙)	深澳發電廠外海	乙	1	1	5133	1	16.8	17.2	34.2	8	7.1	7	87	0	2	1	NA	0	0.01	0.15	NA	0.052	NA	0.004	NA	1.19	NA	0.00002	NA	0	0.001	0.0007	NA	0.0046	NA	0.0003	NA	0	0.0003	2010
台北沿海海域(乙)	深澳發電廠外海	乙	1	1	5133	1	17.6	17.6	35.8	8.1	NA	7.1	91.5	10.5	NA	0.4	NA	0.01	NA	0.11	NA	0.05	NA	0.003	NA	0.612	NA	0.00002	NA	0	0.001	0.0011	NA	0.0028	NA	0.0003	NA	0	0.0003	2015
台北沿海海域(乙)	淡水河口外4海浬處	乙	1	1	5134	1	17.6	17.6	34.8	8.1	7.5	7.6	96.9	8.9	NA	0.3	NA	0	0.02	0.11	NA	0.042	NA	0.002	NA	0.593	NA	0.00003	NA	0.001	NA	0.0006	NA	0.0138	NA	0	0.0002	0	0.0003	2008
台北沿海海域(乙)	淡水河口外4海浬處	乙	1	1	5134	1	15.8	17.5	33.6	8.2	NA	7.5	94.6	5	NA	0.3	NA	0	0.01	0.13	NA	0.048	NA	0.003	NA	0.593	NA	0.00001	NA	0	0.001	0.0002	NA	0.0008	NA	0	0.0001	0	0.0003	2016
台北沿海海域(乙)	淡水河口外4海浬處	乙	1	1	5134	1	18.2	18.1	33.9	8	7.6	7.3	93.4	6.4	NA	0.4	NA	0	0.01	0.1	NA	0.04	NA	0.004	NA	0.502	NA	0.00002	NA	0	0.001	0.0011	NA	0.0045	NA	0.0005	NA	0	0.0003	2010
台北沿海海域(乙)	淡水河口外4海浬處	乙	1	1	5134	1	18.2	17.9	34.8	8.1	NA	7.5	96.7	9.3	NA	0.7	NA	0	0.01	0.13	NA	0.052	NA	0.004	NA	0.56	NA	0.00002	NA	0	0.001	0.0006	NA	0.0022	NA	0.0001	NA	0	0.0003	2015
台北沿海海域(乙)	林口發電廠	乙	1	1	5135	1	18.1	16.8	32.5	8.2	NA	7.7	95.5	37	NA	0.6	NA	0.07	NA	0.24	NA	0.062	NA	0.008	NA	0.918	NA	0.00002	NA	0	0.001	0.0006	NA	0.0021	NA	0	0.0001	0	0.0003	2016
台北沿海海域(乙)	林口發電廠	乙	1	1	5135	1	18.2	17.5	33.4	8.1	7.6	7.4	93.4	7.8	NA	0.7	NA	0.06	NA	0.14	NA	0.064	NA	0.014	NA	0.804	NA	0.00002	NA	0	0.001	0.0008	NA	0.0038	NA	0.0004	NA	0	0.0003	2010
台北沿海海域(乙)	林口發電廠	乙	1	1	5135	1	17.6	17	34.6	8.2	NA	7.7	98	9	NA	0.6	NA	0.08	NA	0.16	NA	0.068	NA	0.012	NA	0.578	NA	0.00002	NA	0	0.001	0.0007	NA	0.0044	NA	0.0001	NA	0	0.0003	2015
台北沿海海域(乙)	深澳發電廠	乙	1	1	5136	1	17.7	17.5	35.1	8.1	7.8	7.7	97.4	5.6	NA	0.4	NA	0.03	NA	0.33	NA	0.057	NA	0.004	NA	2.58	NA	0.00006	NA	0	0.001	0.0009	NA	0.0135	NA	0	0.0002	0	0.0003	2008
台北沿海海域(乙)	深澳發電廠	乙	1	1	5136	1	13	15.9	32.2	8.2	NA	8	98.1	7.6	NA	0.3	NA	0.02	NA	0.23	NA	0.035	NA	0.003	NA	1.14	NA	0.00002	NA	0	0.001	0.0007	NA	0.0086	NA	0	0.0001	0	0.0003	2016
台北沿海海域(乙)	深澳發電廠	乙	1	1	5136	1	16.8	17	34.1	8.1	7.7	7.5	93	0	2	0.3	NA	0	0.01	0.16	NA	0.052	NA	0.004	NA	1.16	NA	0.00002	NA	0	0.001	0.0022	NA	0.0097	NA	0.0008	NA	0	0.0003	2010
台北沿海海域(乙)	深澳發電廠	乙	1	1	5136	1	17.5	17.2	35.2	8.1	NA	7.7	98.2	8.5	NA	0.3	NA	0.02	NA	0.12	NA	0.048	NA	0.003	NA	0.888	NA	0.00003	NA	0	0.001	0.0009	NA	0.0055	NA	0.0001	NA	0	0.0003	2015
桃園沿海海域	海湖電廠	乙	1	1	5137	1	17.5	17	34.5	8.2	NA	7.4	93.2	9.2	NA	0.8	NA	0.07	NA	0.15	NA	0.071	NA	0.012	NA	0.566	NA	0.00001	NA	0	0.001	0.0005	NA	0.0029	NA	0	0.0001	0	0.0003	2015
桃園沿海海域	海湖電廠	乙	1	1	5137	1	17.1	16.9	32.5	8.2	NA	7.8	95.6	28	NA	0.4	NA	0.04	NA	0.24	NA	0.06	NA	0.008	NA	0.878	NA	0.00002	NA	0	0.001	0.0007	NA	0.0018	NA	0	0.0001	0	0.0003	2016
桃園沿海海域	海湖電廠	乙	1	1	5137	1	18.4	17.7	33.3	8.1	7.7	7.6	95.7	8.3	NA	0.8	NA	0.06	NA	0.14	NA	0.067	NA	0.015	NA	0.836	NA	0.00001	NA	0	0.001	0.0013	NA	0.0036	NA	0.0003	NA	0	0.0003	2010
桃園沿海海域	新南崁溪口	乙	1	1	5138	1	17.3	17.3	34.5	8.2	NA	7.5	94.8	12.1	NA	1.1	NA	0.06	NA	0.14	NA	0.068	NA	0.013	NA	0.578	NA	0.00001	NA	0	0.001	0.0006	NA	0.003	NA	0	0.0001	0	0.0003	2015
桃園沿海海域	新南崁溪口	乙	1	1	5138	1	16.9	16.9	32.5	8.2	NA	7.6	93.4	64.9	NA	0.5	NA	0.05	NA	0.2	NA	0.063	NA	0.01	NA	0.895	NA	0.00002	NA	0	0.001	0.0008	NA	0.0017	NA	0	0.0001	0	0.0003	2016
桃園沿海海域	新南崁溪口	乙	1	1	5138	1	18.4	17.6	33.3	8.2	7.7	7.5	95.5	8.5	NA	0.5	NA	0.07	NA	0.15	NA	0.064	NA	0.015	NA	0.88	NA	0.00001	NA	0	0.001	0.0009	NA	0.0047	NA	0.0003	NA	0	0.0003	2010
桃園沿海海域	沙崙中油卸油設施一	乙	1	1	5139	1	17	16.8	34.3	8.2	NA	7.6	94.8	14.1	NA	0.6	NA	0.06	NA	0.16	NA	0.083	NA	0.013	NA	0.581	NA	0.00002	NA	0	0.001	0.0006	NA	0.0028	NA	0	0.0001	0	0.0003	2015
桃園沿海海域	沙崙中油卸油設施一	乙	1	1	5139	1	15.7	17.3	33	8.2	NA	7.5	93.5	59.6	NA	0.9	NA	0	0.01	0.19	NA	0.052	NA	0.007	NA	0.838	NA	0.00002	NA	0	0.001	0.0006	NA	0.0014	NA	0	0.0001	0	0.0003	2016
桃園沿海海域	沙崙中油卸油設施一	乙	1	1	5139	1	18.6	17.5	33.5	8.1	7.7	7.6	95.4	5.9	NA	0.5	NA	0.06	NA	0.16	NA	0.057	NA	0.021	NA	0.699	NA	0.00001	NA	0	0.001	0.0009	NA	0.0027	NA	0.0002	NA	0	0.0003	2010
桃園沿海海域	沙崙中油卸油設施二	乙	1	1	5140	1	15.7	17.3	33	8.2	NA	7.6	94.8	52.3	NA	0.6	NA	0.02	NA	0.19	NA	0.053	NA	0.007	NA	0.696	NA	0.00002	NA	0	0.001	0.0007	NA	0.0014	NA	0	0.0001	0	0.0003	2016
桃園沿海海域	沙崙中油卸油設施二	乙	1	1	5140	1	18.6	17.5	33.4	8.2	7.7	7.6	95.3	6.2	NA	0.5	NA	0.08	NA	0.19	NA	0.061	NA	0.02	NA	0.724	NA	0.00001	NA	0	0.001	0.0016	NA	0.0036	NA	0.0002	NA	0	0.0003	2010
桃園沿海海域	沙崙中油卸油設施二	乙	1	1	5140	1	17.1	17	34.3	8.2	NA	7.6	96.4	12.7	NA	0.7	NA	0.07	NA	0.16	NA	0.089	NA	0.014	NA	0.572	NA	0.00002	NA	0	0.001	0.0007	NA	0.006	NA	0.0001	NA	0	0.0003	2015
桃園沿海海域	觀音溪口	乙	1	1	5141	1	16.9	16.9	34.1	8.1	NA	7.4	94	14.9	NA	0.5	NA	0.12	NA	0.28	NA	0.103	NA	0.02	NA	0.738	NA	0.00002	NA	0	0.001	0.0011	NA	0.003	NA	0	0.0001	0	0.0003	2015
桃園沿海海域	觀音溪口	乙	1	1	5141	1	15.5	17	32.4	8.2	NA	7.6	93.6	59	NA	0.8	NA	0.04	NA	0.27	NA	0.067	NA	0.011	NA	0.825	NA	0.00002	NA	0	0.001	0.0009	NA	0.0018	NA	0	0.0001	0	0.0003	2016
桃園沿海海域	觀音溪口	乙	1	1	5141	1	18.5	17.5	33.3	8.1	7.7	7.5	95	4.3	NA	0.4	NA	0.06	NA	0.26	NA	0.066	NA	0.022	NA	0.724	NA	0.00001	NA	0	0.001	0.0025	NA	0.0035	NA	0.0002	NA	0	0.0003	2010
新竹香山沿海海域	頭前溪口南側	乙	1	1	5142	1	17.1	18.3	33.5	8.2	NA	7	90.4	19.2	NA	0.8	NA	0.01	NA	0.14	NA	0.09	NA	0.007	NA	0.616	NA	0.00002	NA	0	0.001	0.0006	NA	0.0041	NA	0.0003	NA	0	0.0003	2016
新竹香山沿海海域	頭前溪口南側	乙	1	1	5142	1	20.2	17.6	33.6	8.2	8	7.8	98.7	6.4	NA	1	NA	0	0.01	0.16	NA	0.053	NA	0.012	NA	0.597	NA	0.00002	NA	0	0.001	0.0026	NA	0.0073	NA	0.0002	NA	0	0.0003	2010
新竹香山沿海海域	頭前溪口南側	乙	1	1	5142	1	21.1	17.9	33.7	8.1	NA	7.3	93.1	19.3	NA	0.6	NA	0.01	NA	0.14	NA	0.052	NA	0.03	NA	0.356	NA	0.00003	NA	0	0.001	0.0007	NA	0.0019	NA	0.0001	NA	0	0.0003	2014
新竹香山沿海海域	頭前溪口南側	乙	1	1	5142	1	17.6	17.4	33.3	8.2	NA	7.8	98.7	10.5	NA	1.2	NA	0.01	NA	0.1	NA	0.066	NA	0.024	NA	0.529	NA	0.00002	NA	0	0.001	0.0004	NA	0.0018	NA	0.0001	NA	0	0.0003	2015
新竹香山沿海海域	鳳山溪北側	乙	1	1	5143	1	20	17.4	33.6	8.1	8.1	7.9	98.2	6.1	NA	1	NA	0	0.01	0.16	NA	0.056	NA	0.012	NA	0.562	NA	0.00001	NA	0	0.001	0.0019	NA	0.0061	NA	0	0.0001	0	0.0003	2010
新竹香山沿海海域	鳳山溪北側	乙	1	1	5143	1	16.6	18.7	33.6	8.2	NA	6.8	89.4	16	NA	0.6	NA	0.01	NA	0.12	NA	0.086	NA	0.006	NA	0.54	NA	0.00002	NA	0	0.001	0.0005	NA	0.0031	NA	0.0004	NA	0	0.0003	2016
新竹香山沿海海域	鳳山溪北側	乙	1	1	5143	1	17.7	17.4	33.2	8.2	NA	7.8	98.5	7.7	NA	1.6	NA	0.03	NA	0.1	NA	0.058	NA	0.024	NA	0.616	NA	0.00006	NA	0	0.001	0.0005	NA	0.0018	NA	0.0002	NA	0	0.0003	2015
新竹香山沿海海域	鳳山溪北側	乙	1	1	5143	1	21.3	17.8	33.7	8.2	NA	7.6	97.2	13.8	NA	0.7	NA	0.05	NA	0.14	NA	0.048	NA	0.034	NA	0.38	NA	0.00002	NA	0	0.001	0.0006	NA	0.0022	NA	0.0001	NA	0	0.0003	2014
新竹香山沿海海域	客雅溪河口外4海浬處	乙	1	1	5144	1	19.1	17.8	33.6	8	7.8	7.6	97	2.6	NA	0.8	NA	0	0.01	0.11	NA	0.044	NA	0.007	NA	0.54	NA	0.00002	NA	0	0.001	0.0009	NA	0.0059	NA	0.0005	NA	0	0.0003	2010
新竹香山沿海海域	客雅溪河口外4海浬處	乙	1	1	5144	1	17.5	17.9	33.5	8.2	NA	7.1	91.3	14.8	NA	0.8	NA	0.01	NA	0.15	NA	0.07	NA	0.008	NA	0.628	NA	0.00001	NA	0	0.001	0.0006	NA	0.0055	NA	0.0003	NA	0	0.0003	2016
新竹香山沿海海域	客雅溪河口外4海浬處	乙	1	1	5144	1	20.7	18	33.9	8.2	NA	7.4	94.8	7.6	NA	0.5	NA	0.06	NA	0.11	NA	0.038	NA	0.027	NA	0.332	NA	0.00006	NA	0	0.001	0.0006	NA	0.0022	NA	0.0002	NA	0	0.0003	2014
新竹香山沿海海域	客雅溪河口外4海浬處	乙	1	1	5144	1	17.9	17.8	33.5	8.2	NA	7.8	99.7	3.7	NA	1.7	NA	0	0.01	0.08	NA	0.035	NA	0.021	NA	0.467	NA	0.00007	NA	0	0.001	0.0004	NA	0.0022	NA	0.0001	NA	0	0.0003	2015
新竹香山沿海海域	紅毛港外	乙	1	1	5145	1	18.2	17.3	33.3	8.1	7.8	7.6	95.1	35.8	NA	0.2	NA	0.04	NA	0.27	NA	0.068	NA	0.021	NA	0.721	NA	0.00002	NA	0	0.001	0.0013	NA	0.0044	NA	0.0004	NA	0	0.0003	2010
新竹香山沿海海域	紅毛港外	乙	1	1	5145	1	16.6	18.1	33.5	8.2	NA	6.9	89.2	19.4	NA	0.7	NA	0.01	NA	0.11	NA	0.078	NA	0.009	NA	0.584	NA	0.00003	NA	0	0.001	0.0005	NA	0.0031	NA	0.0003	NA	0	0.0003	2016
新竹香山沿海海域	紅毛港外	乙	1	1	5145	1	17.9	17.4	32.8	8.1	NA	7.8	98.4	14.9	NA	1.3	NA	0.07	NA	0.16	NA	0.085	NA	0.023	NA	0.723	NA	0.00004	NA	0	0.001	0.0011	NA	0.0048	NA	0.0001	NA	0	0.0003	2015
新竹香山沿海海域	紅毛港外	乙	1	1	5145	1	21.6	16.9	33.5	8.2	NA	7.6	94.9	25.6	NA	0.8	NA	0.01	NA	0.19	NA	0.057	NA	0.05	NA	0.46	NA	0.00003	NA	0	0.001	0.0007	NA	0.0017	NA	0.0001	NA	0	0.0003	2014
宜蘭蘇澳沿海海域	龜山島	甲	1	1	5146	1	19.2	19.2	34.2	8.2	NA	6.9	92.3	2.2	NA	0.5	NA	0	0.01	0.06	NA	0.034	NA	0.018	NA	0.413	NA	0.00001	NA	0	0.001	0.0003	NA	0.0051	NA	0	0.0001	0	0.0003	2015
宜蘭蘇澳沿海海域	龜山島	甲	1	1	5146	1	19.9	20.3	33.9	8.2	6.8	6.6	89.2	4.4	NA	0	0.1	0	0.01	0.07	NA	0.015	NA	0.007	NA	0.543	NA	0.00002	NA	0	0.001	0.0007	NA	0.0067	NA	0.0005	NA	0	0.0003	2010
