保護區名稱|面積(公頃)|範圍(位置)|管理機關|公告日期
台東紅葉村台東蘇鐵自然保留區|290.46|台東縣延平鄉紅葉村境內延平事業區第19、23 及40林班。|行政院農業委員會林務局台東林區管理處(國定自然地景)|75.06.27
烏山頂泥火山地景自然保留區|3.8802|高雄市燕巢區深水段183-73地號 (原公告範圍為高雄縣燕巢鄉深水段183之8地號，面積4.89公頃。97年9月26日分割出183-73地號，102年10月18日公告修正範圍)|高雄市政府(國定自然地景)|81.03.12 102.10.18農林務字第1021701051號公告修正範圍
大武山自然保留區|47000|大武事業區第 2-10、12-20、24-30林班；台東事業區第18-26、35-43、45-50林班及第51林班扣除礦業用地及礦業卡車運路以外之土地，台東縣界內屏東林區管理處之巴油池及附近縣界以東之林地|行政院農業委員會林務局台東、屏東林區管理處(國定自然地景)|77.01.13 77.06.08 公告修正
挖子尾自然保留區|30|新北市八里區。淡水河道中淡水區與八里區交界起，南至公路止，西邊沿挖子尾溪向上溯至大崁腳堤。|新北市政府(國定自然地景)|83.01.10
烏石鼻海岸自然保留區|311|宜蘭縣南澳鄉朝陽村境內南澳事業區第11林班|行政院農業委員會林務局羅東林區管理處(國定自然地景)|83.01.10
墾丁高位珊瑚礁自然保留區|137.625|屏東縣恆春鎮墾丁熱帶植物第3區|行政院農業委員會林業試驗所恆春分所(國定自然地景)|83.01.10
九九峰自然保留區|1,198.45|埔里事業區第8林班30、31小班，第9林班16-19小班，第10林班26、27、30、31、34、35小班，第11林班17-20、23、26-30、32、33小班，第12林班15-20小班，第13林班1、2小班，第15林班1-3、13-18小班，第16林班1、2、5-7小班，第17林班1、2小班，第18林班5-7小班，第19林班5、11、12小班，第20林班22小班|行政院農業委員會林務局南投林區管理處(國定自然地景)|89.05.22
澎湖南海玄武岩自然保留區(東吉嶼、西吉嶼、頭巾、鐵砧)|176.2544|頭巾頭巾段1、2、3、4、5等5筆地號及平均高潮位以上之全部土地(0.7741公頃)、鐵砧鐵砧段1、2、3等3筆地號及平均高潮位以上之全部土地(1.2372公頃)；西吉嶼西吉段1、1-1、1-2、49、71等5筆公有土地(39.9970公頃)；東吉嶼東吉段1地號等1405筆土地(134.2461)|澎湖縣政府(縣定自然地景)|澎湖縣政府依97.09.23府授農保字第09735010992號函公告 98年9月15日府授農保字第09835011341號函公告修正
旭海-觀音鼻自然保留區|841.3|屏東縣牡丹鄉境內，塔瓦溪以南，旭海村以北的海岸範圍內。沙里央段1、2、3、4、5、6、7、12、13、15、16、17、18、19、20、21、20、9999、牡丹灣段278、317-1、330、419、419-6、420、420-1、420-2、421、422、423、424、425、427、428、431-94、433、434-2、758、759、760、761、761-1、762、762-1、763、764、764-1、765、765-1、766、766-1、767、767-1、9978、9979、9982、9983、9987、9988、9993、9996、依卡烏蘇灣段1、2、3、4、5、7、8等67筆公有土地|屏東縣政府(縣定自然地景)|101.01.20
北投石自然保留區|0.2|北投溪第2瀧至第4瀧間河堤內的行水區及部分毗鄰河岸地，兩端分別以北投溫泉博物館及熱海飯店前之木棧橋為界|臺北市政府產業發展局(市定自然地景)|臺北市政府產業發展局102年12月26日府產業動字第10233765600號
大武事業區台灣穗花杉自然保留區|86.4|大武事業區第39林班|行政院農業委員會林務局台東林區管理處(國定自然地景)|75.06.27
澎湖縣貓嶼海鳥保護區|36.2|澎湖縣大、小貓嶼全島陸域、及其緩衝區為低潮線向海延伸100公尺內之海域|行政院農委會|澎湖縣政府80.05.24日(80)澎府農漁字第21442號函公告；澎湖縣政府86.04.23日(86)澎府農漁字第22616號公告修正函
高雄縣三民鄉楠梓仙溪野生動物保護區|274.22|高雄市那瑪夏區全區段之楠梓仙溪溪流|行政院農委會|高雄縣政府82.05.26日(82)府農林字第82411號函；高雄縣政府87.04.17日八七府農林字第61413號公告修正函
無尾港水鳥保護區|103.35|蘇澳鎮港邊里海岸防風林內湖泊沼澤為中心，東臨太平洋、西界岳明國小，南至澳仔角崖邊、北抵新城溪，即宜蘭縣蘇澳鎮永安段1、36至39、41、77至92、183、535至540、549至551、1093地號及存仁段984、984-1、985、985-1、985-2、1110、1150、1151、1151-1、1151-2、1151-3、1151-4、1151-5、1151-6、1152至1156地號等共計五十二筆土地，面積為103.35公頃。|行政院農委會|宜蘭縣政府82.09.24. (82)府農林字第106151號公告；宜蘭縣政府87.06.18. 八七府農畜字第64881號公告修正；宜蘭縣政府104.06.23. 府農畜字第1040098949A號公告修正。
台北市野雁保護區|245|淡水河流域大漢溪與新店溪交界處，北起中興橋，南至永福橋間，東以台北市萬華區的河濱公園外側低水護岸為界，西至(水域間)臺北市與新北市界線。本保護區所轄之範圍 (為區內所有的草澤、泥灘、水域，及光復橋上游600 公尺之高灘地|行政院農委會|台北市政府82.11.19日(82)府建三字第82084560號函； 台北市政府83.05.17日(83)府建三字第83027863號函； 台北市政府86.08.15日府建三字第8606078700號公告修正函
台南市四草野生動物保護區|523.848|本野生動物保護區與重要棲息環境面積相同，共有三個分區，位於臺南市安南區，省道台17號公路以西至海岸線，北為曾文溪，南為鹽水溪，中有鹿耳門溪。三個分區分別為高蹺鴴繁殖區（A1:54.6530公頃）、北汕尾水鳥保護區（A2:337.3052公頃）、竹筏港水鳥保護區（A3:131.8898公頃）|行政院農委會|台南市政府83.11.30日(83)南市建農字第132629號函
澎湖縣望安島綠蠵龜產卵棲地保護區|23.33|澎湖縣望安島6處沙灘草地|行政院農委會|澎湖縣政府84.01.17日(84)澎府農漁字第01472號函公告
大肚溪口野生動物保護區|2669.73|跨台中市與彰化縣境之大肚溪(烏溪)河口及其向海延伸二公里內之海域|行政院農委會|84.02.28日彰化縣政府(84)彰府農林字第33474號函暨台中縣政府(84)府農技字第04512號函公告為「大肚溪口水鳥保護區」；87.05.22日彰化縣政府八七彰府農林字第090660號函公告修正為「大肚溪口野生動物保護區」。
棉花嶼、花瓶嶼野生動物保護區|226.38|棉花嶼全島陸域及其低潮線向海域延伸500公尺，與花瓶嶼全島陸域及其低潮線向海域延伸外200公尺範圍內|行政院農委會|基隆市政府85.03.18日85基府建農字第017128號函公告
蘭陽溪口水鳥保護區|206|宜蘭縣蘭陽溪噶瑪蘭大橋以下至河口段|行政院農委會|宜蘭縣政府85.09.16日85府農林字第105206號函公告
櫻花鉤吻鮭野生動物保護區|7124.7|台中市大甲溪流域七家灣溪集水區(大甲溪事業區第 24 林班 1-8 小班， 25-37 林班，以及武陵農場中、北谷，南邊於七家灣溪西岸以億年橋向西延伸之山陵線為界《位於雪霸國家公園範圍內》)。|行政院農委會|台中縣政府86.10.01日86府農技字第261771號函公告
台東縣海端鄉新武呂溪魚類保護區|292|台東縣海端鄉卑南溪上游新武呂溪初來橋起，至支流大崙溪的拉庫拉庫溫泉，另一支流霧鹿溪的利稻橋，以及另一支流武拉庫散溪五．五公里處|行政院農委會|台東縣政府87.12.04日87府農林字第87133002號函公告
馬祖列島燕鷗保護區|71.6166|東引鄉之雙子礁，北竿鄉之三連嶼、中島、鐵尖島、白廟、進嶼，南竿鄉之劉泉礁，莒光鄉之蛇山等八座島嶼，及緩衝區為低潮線向海延伸100公尺內之海域|行政院農委會|連江縣政府89.01.26八十八連建農字第20084號函
玉里野生動物保護區|11414.58|花蓮縣卓溪鄉國有林玉里事業區第32-37林班|行政院農委會|行政院農委會89.01.27八九農林字第890030020號函
新竹市濱海野生動物保護區|1600|北涵括客雅溪口(含金城湖附近),南至無名溝(竹苗交界),東起海岸線,西至最低潮線(不包含現有海山漁港,浸水垃圾掩埋場及客雅污水處理廠預定地)|行政院農委會|新竹市90.12.14（九十）府建生字第94263號公告； 93.09.23府建生字第0930099959號公告修正。
台南縣曾文溪口北岸黑面琵鷺保護區|300|七股新舊海堤內之縣有地，北以舊堤堤頂線上為界定，南至河川水道治理計畫用地範圍線以內（含水防道路），西為海堤區域線以內（含水防道路），東為東邊魚塭堤之天然界線往南至河川水道治理計畫用地範圍線，其中並包括含四號水門（原一號）、一號水門（原二號）|行政院農委會|台南縣政府91.11.01府農林字0910179659號公告
宜蘭縣雙連埤野生動物保護區|17.1578|宜蘭縣員山鄉大湖段雙連埤小段79地號水利地。|行政院農業委員會|宜蘭縣政府92.11.07府農畜字0920137729號函公告
高美野生動物保護區|701.3|台中市清水區沿岸，北以大甲溪出海口北岸為界，東界為西濱快速道路西側沿清水區海岸堤防南下，經番仔寮海堤、高美一號海堤、高美二號海堤等海堤堤尖以西至平均低潮線，南以臺中港北防沙堤為界|行政院農委會|台中縣政府93.09.29府農育字第0930253489-2號台中縣公告高美野生動物保護區、臺中市政府101.06.22府授農林字第10100995651號公告高美野生動物保護區分區管制範圍暨相關管制事項
桃園高榮野生動物保護區|1.11|桃園縣楊梅鎮高榮里仁美段167地號|行政院農業委員會|桃園縣政府101.03.03府農植字第1010041471號公告
翡翠水庫食蛇龜野生動物保護區|1295.93|位於新北市石碇區，範圍包含新北市石碇區乾溝段後坑子小段、乾溝段乾溝小段、火燒樟段、桶後北段等共計土地725筆，詳細地籍清單如附件。|行政院農業委員會|行政院農業委員會102年12月10日農林務字第1021701271號
桃園觀新藻礁生態系野生動物保護區|315|本保護區所在行政區界桃園縣觀音鄉保生村、桃園縣新屋鄉永興村及永安村，面積計315公頃，並分為核心區、緩衝區與永續利用區。|行政院農業委員會|桃園縣政府103.07.07日府農植字第1030161774號函公告
棉花嶼野生動物重要棲息環境|陸域：13.3024 海域：188 總計：201.3024|全島陸域及其低潮線向海域延伸五百公尺|行政院農委會|84.06.12
花瓶嶼野生動物重要棲息環境|陸域：3.08 海域：22 總計：25.08|全島陸域及其低潮線向海域延伸二百公尺|行政院農委會|84.06.12
臺中縣武陵櫻花鉤吻鮭重要棲息環境|7095|台中市境大甲溪上游七家灣溪流域|行政院農委會|84.09.23
宜蘭縣蘭陽溪口野生動物重要棲息環境|206|宜蘭縣蘭陽溪下游河口（噶瑪蘭大橋以東河川地）|行政院農委會|85.07.11
澎湖縣貓嶼野生動物重要棲息環境|陸域：10.0200 海域：26.1842 總計：36.2042|大、小貓嶼全島低潮線以上陸域及其低潮線向海延伸一百公尺內之範圍|行政院農委會|86.04.07
台北市中興橋永福橋野生動物重要棲息環境|245|中興橋至永福橋間低水護岸起至縣市界止之河域及光復橋上游六百公尺高灘地|行政院農委會|86.07.31
高雄縣三民鄉楠梓仙溪野生動物重要棲息環境|274.22|高雄市那瑪夏區境內楠梓仙溪主流及所有支流（各由與主流匯流點上溯五百公尺）|行政院農委會|87.03.19
大肚溪口野生動物重要棲息環境|2670|台中市、彰化縣大肚溪下游河口及其向海延伸二公里內之海域|行政院農委會|87.04.07
宜蘭縣無尾港野生動物重要棲息環境|103.35|宜蘭縣蘇澳鎮永安段及存仁段等共計五十二筆土地，詳細地籍清單如附表。|行政院農業委員會|87年5月22日公告，103年7月1日公告修正，104年6月10日再度公告修正。
台東縣海端鄉新武呂溪野生動物重要棲息環境|292|台東縣海端鄉卑南溪上游新武呂溪初來橋起，至支流大崙溪的拉庫拉庫溫泉，另一支流霧鹿溪的利稻橋，以及另一支流武拉庫散溪五‧五公里處|行政院農委會|87.11.19
馬祖列島野生動物重要棲息環境|陸域：11.9171 海域：59.6995 總計：71.6166|劉泉礁、鐵尖、進嶼、三連嶼、蛇山、雙子礁、中島、白廟等全島陸域及其低潮線向海域延伸一百公尺。|行政院農委會|88.12.24
玉里野生動物重要棲息環境|11414.58|國有林玉里事業區第32至37林班|行政院農委會|89.01.27
棲蘭野生動物重要棲息環境|55991.41|國有林烏來事業區第54-71林班，大溪事業區第39、40、45-66、83、84、87-100、109-118、127-130、133林班，宜蘭事業區第74-77、81-84林班，太平山事業區第1-73林班|行政院農業委員會|89.02.15
丹大野生動物重要棲息環境|109952|國有林林田山事業區第27、28、78-104、118-124林班，木瓜山事業區第48-54、70林班，丹大事業區第1-40林班，巒大事業區第135（第7、10、11、13小班除外）、136-179、181-201林班，濁水溪事業區第15-17、19-21、25-27、30林班|行政院農業委員會|89.02.15
關山野生動物重要棲息環境|69077.72|國有林關山事業區第13-24、28-44林班，延平事業區第24-31林班，秀姑巒事業區第40-44林班|行政院農業委員會|89.02.15
觀音海岸野生動物重要棲息環境|519|國有林和平事業區第91、92林班|行政院農業委員會|89.10.19
觀霧寬尾鳳蝶野生動物重要棲息環境|23.5|國有林大安溪事業區第49林班（位於雪霸國家公園範圍內）|行政院農業委員會|89.10.19
雪山坑溪野生動物重要棲息環境|670.88|國有林大安溪事業區第101、106林班|行政院農業委員會|89.10.19
瑞岩溪野生動物重要棲息環境|2,574.00|國有林埔里事業區第131-136林班|行政院農業委員會|89.10.19
鹿林山野生動物重要棲息環境|494.04|國有林玉山事業區第18-20林班|行政院農業委員會|89.10.19
浸水營野生動物重要棲息環境|1,119.28|國有林潮州事業區第16林班|行政院農業委員會|89.10.19
茶茶牙賴山野生動物重要棲息環境|2,004.40|國有林潮州事業區第28-30林班|行政院農業委員會|89.10.19
雙鬼湖野生動物重要棲息環境|47,723.75|國有林延平事業區第32-39林班，屏東事業區第18-31林班，荖濃溪事業區第4-21林班|行政院農業委員會|89.10.19
利嘉野生動物重要棲息環境|1,022.36|國有林台東事業區第7、9、10林班|行政院農業委員會|89.10.19
海岸山脈野生動物重要棲息環境|3,300.59|國有林成功事業區第41、42、44林班，秀姑巒事業區第70、71林班|行政院農業委員會|89.10.19
水璉野生動物重要棲息環境|339.86|國有林林田山事業區地142林班|行政院農業委員會|90.03.13
塔山野生動物重要棲息環境|696.38|國有林阿里山事業區第22-25、27-29林班|行政院農業委員會|90.05.17
客雅溪口及香山溼地野生動物重要棲息環境|1,600.00|北涵括客雅溪口（含金城湖附近），南至無名溝（竹苗交界），東起海岸線，西至最低潮線（不包含現有海山漁港、浸水垃圾掩埋場及客雅污水處理廠預定地）。|行政院農委會|90.6.8
臺南縣曾文溪口黑面琵鷺野生動物重要棲息環境|634.4344|七股新舊海堤內之縣有地，北以舊堤堤頂線上為界定，南至河川水道治理計畫用地範圍線以內，東為與台南師範學院預定地界址樁為界線，西為海堤區域線以內（含水防道路），含四號（原一號）、一號（原二號）及二號（原三號）水門。|行政院農委會|91.10.14
宜蘭縣雙連埤野生動物重要棲息環境|666|宜蘭縣員山鄉大湖段雙連埤小段49~49-26，79，80~80-13，80-18~80-23，114~116，121~122，124，129，132~134-18，134-24~140地號(134地號部分)。羅東林區管理處宜蘭事業區第43、47林班。|行政院農業委員會|92.10.23公告,94.03.21公告修正
臺中縣高美野生動物重要棲息環境|701.3|以大甲溪出海口北岸為界，東界為西濱快速道路西側沿清水鎮海岸堤防南下，經番仔寮海堤、高美一號海堤、高美二號海堤等海堤堤尖以西至平均低潮線，南以台中港北防沙堤為界。|行政院農業委員會|93.09.09農授林務字第0931700673號
臺南市四草野生動物重要棲息環境|523.848|本野生動物重要棲息環境共有三個分區，位於臺南市安南區，省道台17號公路以西至海岸線，北為曾文溪，南為鹽水溪，中有鹿耳門溪。三個分區分別為高蹺鴴繁殖區（Ａ１區，54.6530公頃）、北汕尾水鳥保護區（Ａ２區，337.3052公頃）、竹筏港水鳥保護區（Ａ３區，131.8898公頃）。|行政院農業委員會|95.12.22
雲林湖本八色鳥野生動物重要棲息環境|1737.386|南投林區管理處阿里山事業區第61-70林班|行政院農業委員會|97.11.28農林務字第0971701190號公告
嘉義縣鰲鼓野生動物重要棲息環境|664.48|嘉義縣東石鄉東石農場內，區域邊界東臨東石農場之二號幹排，西、南、北側以防汛道路為邊界，包含嘉義縣東石鄉鰲鼓段四六四~四六七、四六八之十一~四六八之十二、六四三~六五O之ㄧ、六五一~六五四、六七四~六七五、六七七~六八二、七O一~七O四、七O六~七O六之ㄧ、七O七~七三四、七三六~七六九之ㄧ、七七O、七七二、七七四~七七五、七九七~七九八、八OO、八二八~八九六、九二一、九五八、九七三、一O四九、一O七七~一一四六之ㄧ、一一四七~一一四九、一一五一~一一五六、一一五九~一一六一之ㄧ、一一六二~一一六四、一一七一~一一七三、一一八O~一一八五、一一九七~一二二一、一二二七~一二四六地號共三百一十七筆土地(其中四六四、四六六~四六七、四六八之十一~四六八之十二、六四三、六四九~六五O之一、六五二、六五四、六七四~六七五、六七七~六八二、七七五、七九七~七九八、八OO、八九六、九二一、九五八、九七三、一O四九、一O七七~一O七八、一一四九、一一五一、一一六四、一一七三、一一八二~一一八五地號僅部分劃入)。|行政院農業委員會|98.04.16
桃園高榮野生動物重要棲息環境|1.11|桃園縣楊梅鎮高榮里仁美段167地號|行政院農業委員會|100.12.21農林務字第1001701346號公告
翡翠水庫食蛇龜野生動物重要棲息環境|1295.93|位於新北市石碇區，範圍包含新北市石碇區乾溝段後坑子小段、乾溝段乾溝小段、火燒樟段、桶後北段等共計土地725筆，詳細地籍清單如附件。|行政院農業委員會|102.12.10
桃園觀新藻礁生態系野生動物重要棲息環境|315|桃園縣觀音鄉保生村大潭電廠進水口南堤以南至桃園縣新屋鄉永興村、永安村藻礁海岸，含小飯壢溪河口、新屋溪河口；保護區範圍界線係緊連各堤岸構造物，各堤岸構造物主體不納入保護區範圍。|行政院農業委員會|103.04.15
雪霸自然保護區|20,869.82|大安溪事業區第53-54、56-64林班，及八仙山事業區第76-84林班（位於雪霸國家公園範圍內）。||70年公告成立國有林自然保護區 95.4.10農林務字第0951700407號公告成立自然保護區
十八羅漢山自然保護區|193.01|旗山事業區第55林班之一部分，西與旗山事業區第49、50林班為界，南至新威村，北與六龜區義寶村、文武村為鄰。||81年公告成立國有林自然保護區 95.4.10農林務字第0951700407號公告成立自然保護區
甲仙四德化石自然保護區|11.232|旗山事業區第4林班之一部分，高雄市甲仙區，從北方和安村四德巷沿溪至大田村公館巷一帶，西至鹿嗚山(六義山)山腰地區。||80年公告成立國有林自然保護區 95.4.10農林務字第0951700407號公告成立自然保護區
關山臺灣海棗自然保護區|54.33|關山事業區第4、5、12、25、26林班之一部分，北側以關山事業區第4、5、12、25、26林班嶺線為界，南側以新武橋、西側以大崙溪、東側以新武呂溪為界。||70年公告成立國有林自然保護區 95.4.10農林務字第0951700407號公告成立自然保護區
海岸山脈臺東蘇鐵自然保護區|38|成功事業區第31、32林班之一部分。||70年公告成立國有林自然保護區 95.04.10農林務字第0951700407號公告成立自然保護區
大武臺灣油杉自然保護區|5.04|大武事業區第41林班之一部分，中央山脈南端茶茶牙賴山東北坡上，北脊向西沿大武溪支流連接茶茶頓山，南脊面對加芝來山。||70年公告成立國有林自然保護區 95.4.10農林務字第0951700407號公告成立自然保護區
墾丁國家公園|33,288.65　陸域：18,083.50　海域：15,205.15|內政部營建署　墾丁國家公園管理處|09/01/1971|
玉山國家公園|105,490|內政部營建署　玉山國家公園管理處|04/06/1974|
陽明山國家公園|11,455|內政部營建署　陽明山國家公園管理處|09/01/1974|
太魯閣國家公園|92,000|內政部營建署　太魯閣國家公園管理處|11/28/1975|
雪霸國家公園|76,850|內政部營建署　雪霸國家公園管理處|07/01/1981|
金門國家公園|3,719.70|內政部營建署　金門國家公園管理處|10/18/1984|
東沙環礁國家公園|353,667.95 陸域：168.97 海域：353,498.98|內政部營建署　海洋國家公園管理處|01/17/1996|
台江國家公園|39,310陸域：4,905 海域：34,405|內政部營建署　台江國家公園管理處|10/15/1998|
澎湖南方四島國家公園|35,843.62陸域：370.29海域：35,473.33|內政部營建署 海洋國家公園管理處|103/6/8|
壽山國家自然公園|1,123|||98年
