nameOfMPA	parentMPA	basedOn	_提報機關	authority	level	areaSuppliedByFATWInKM	lengthOfCoastSuppliedByFATWInKM	typeOfData	rawCoordinate	cleanedCoordinate	stepIType	distantExtentedInMeter
伸港(二)螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.2	NA	POLYGON	"24°10'55.85""N 120°27'32.05""E"	24°10'55.85sN 120°27'32.05sE	多邊形所圍面積減去多算的陸地面積	NA
伸港(二)螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.2	NA	POLYGON	"24°10'58.27""N 120°27'23.55""E"	24°10'58.27sN 120°27'23.55sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.41	NA	POLYGON	"23°58'08.31""N 120°19'05.14""E"	23°58'08.31sN 120°19'05.14sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.41	NA	POLYGON	"23°58'11.30""N 120°19'19.73""E"	23°58'11.30sN 120°19'19.73sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.41	NA	POLYGON	"23°57'28.82""N 120°18'34.78""E"	23°57'28.82sN 120°18'34.78sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區	NA	漁業法	漁業署	彰化縣政府	NA	0.41	NA	POLYGON	"23°57'23.93""N 120°18'40.04""E"	23°57'23.93sN 120°18'40.04sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	2	NA	NA	POLYGON	"23°58'08.31""N 120°19'05.14""E"	23°58'08.31sN 120°19'05.14sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	2	NA	NA	POLYGON	"23°58'11.30""N 120°19'19.73""E"	23°58'11.30sN 120°19'19.73sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	2	NA	NA	POLYGON	"23°57'53.12""N 120°18'53.36""E"	23°57'53.12sN 120°18'53.36sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區核心區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	2	NA	NA	POLYGON	"23°57'48.52""N 120°19'00.65""E"	23°57'48.52sN 120°19'00.65sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	NA	NA	NA	POLYGON	"23°57'53.12""N 120°18'53.36""E"	23°57'53.12sN 120°18'53.36sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	NA	NA	NA	POLYGON	"23°57'48.52""N 120°19'00.65""E"	23°57'48.52sN 120°19'00.65sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	NA	NA	NA	POLYGON	"23°57'28.82""N 120°18'34.78""E"	23°57'28.82sN 120°18'34.78sE	多邊形所圍面積減去多算的陸地面積	NA
王功螻蛄蝦繁殖保育區養護區	王功螻蛄蝦繁殖保育區	漁業法	漁業署	彰化縣政府	NA	NA	NA	POLYGON	"23°57'23.93""N 120°18'40.04""E"	23°57'23.93sN 120°18'40.04sE	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區	NA	漁業法	漁業署	屏東縣政府	NA	3.67	NA	NA	NA	NA	NA	NA
琉球漁業資源保育區西北區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	3	NA	NA	LINESTRING	"22°21.323'N,120°22.862'E"	22°21.323'N 120°22.862'E	二至多點間自低潮線向外海延伸特定距離範圍內	200
琉球漁業資源保育區西北區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	3	NA	NA	LINESTRING	"22°20.520'N`, 120°21.772'E"	22°20.520'N 120°21.772'E	二至多點間自低潮線向外海延伸特定距離範圍內	200
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	99	NA	NA	POLYGON	22°21.713’N120°22.661’ E	22°21.713'N 120°22.661' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	99	NA	NA	POLYGON	22°21.533’N120°22.152’ E	22°21.533'N 120°22.152' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	99	NA	NA	POLYGON	22°21.010’ N120°21.425’ E	22°21.010'N 120°21.425' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	99	NA	NA	POLYGON	22°20.990’ N120°21.577’ E	22°20.990'N 120°21.577' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	99	NA	NA	POLYGON	22°20.990’ N120°21.660’ E	22°20.990'N 120°21.660' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	99	NA	NA	POLYGON	22°21.006’ N120°21.817’ E	22°21.006'N 120°21.817' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	99	NA	NA	POLYGON	22°21.201’ N120°22.130’ E	22°21.201'N 120°22.130' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區箱網養殖區	NA	NA	NA	NA	99	NA	NA	POLYGON	22°21.396’ N120°22.663’ E	22°21.396'N 120°22.663' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	2	NA	NA	POLYGON	22°20.522’ N120°21.781’ E	22°20.522'N 120°21.781' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	2	NA	NA	POLYGON	22°20.501’ N120°21.731’ E	22°20.501'N 120°21.731' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	2	NA	NA	POLYGON	22°20.585’ N120°21.693’ E	22°20.585'N 120°21.693' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	2	NA	NA	POLYGON	22°20.693’ N120°21.674’ E	22°20.693'N 120°21.674' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區杉福潮間帶保育示範區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	2	NA	NA	POLYGON	22°20.579’ N120°21.752’ E	22°20.579'N 120°21.752' E	多邊形所圍面積減去多算的陸地面積	NA
琉球漁業資源保育區環島分區	琉球漁業資源保育區	漁業法	漁業署	屏東縣政府	NA	NA	NA	NA	NA	NA	特定行政或地理區域臨海邊界向外海延伸特定距離範圍內	200
車城漁業資源保育區	NA	漁業法	漁業署	屏東縣政府	3	0.95	2	LINESTRING	22°6'41.89''N;120°42'47.16''E	22°6'41.89sN 120°42'47.16sE	二至多點間自低潮線向外海延伸特定距離範圍內	NA
車城漁業資源保育區	NA	漁業法	漁業署	屏東縣政府	3	0.95	2	LINESTRING	22°5'31.53''N;120°42'54.46''E	22°5'31.53sN 120°42'54.46sE	二至多點間自低潮線向外海延伸特定距離範圍內	NA
國立海洋生物博物館資源培育區	NA	漁業法	漁業署	屏東縣政府	2	6.77	NA	POINT	NA	22°5' 120°41'	NA	NA
綠島漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	NA	5.77	NA	POLYGON		NA	NA	NA
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.08	NA	POLYGON	N22 度 40 分 30.3 秒 E121 度 28 分 44.0 秒	22°40'30.3sN 121°28'44.0sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.08	NA	POLYGON	N22 度 40 分 37.1 秒 E121 度 28 分 45.7 秒	22°40'37.1sN 121°28'45.7sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.08	NA	POLYGON	N22 度 40 分 38.2 秒 E121 度 29 分 1.0 秒	22°40'38.2sN 121°29'1.0sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區柴口分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.08	NA	POLYGON	N22 度 40 分 44.0 秒 E121 度 28 分 56.1 秒	22°40'44.0sN 121°28'56.1sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.1	NA	POLYGON	N22 度 39 分 33.2 秒 E121 度 28 分 27.4 秒	22°39'33.2sN 121°28'27.4sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.1	NA	POLYGON	N22 度 39 分 33.1 秒 E121 度 28 分 24.2 秒	22°39'33.1sN 121°28'24.2sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.1	NA	POLYGON	N22 度 39 分 28.4 秒 E 21 度 28 分 24.2 秒	22°39'28.4sN 121°28'24.2sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.1	NA	POLYGON	N22 度 39 分 26.8 秒 E121 度 28 分 18.2 秒	22°39'26.8sN 121°28'18.2sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.1	NA	POLYGON	N22 度 39 分 23.8 秒 E121 度 28 分 18.2 秒	22°39'23.8sN 121°28'18.2sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.1	NA	POLYGON	N22 度 39 分 22.2 秒 E121 度 28 分 22.3 秒	22°39'22.2sN 121°28'22.3sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.1	NA	POLYGON	N22 度 39 分 8.2 秒 E121 度 28 分 22.3 秒	22°39'8.2sN 121°28'22.3sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區石朗分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.1	NA	POLYGON	N22 度 39 分 7.9 秒 E121 度 28 分 28.1 秒	22°39'7.9sN 121°28'28.1sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	3	0.29	NA	POLYGON	N22 度 38 分 33.5 秒 E121 度 29 分 17.8 秒	22°38'33.5sN 121°29'17.8sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	3	0.29	NA	POLYGON	N22 度 38 分 18.9 秒 E121 度 29 分 6.2 秒	22°38'18.9sN 121°29'6.2sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	3	0.29	NA	POLYGON	N22 度 38 分 21.5 秒 E121 度 29 分 34.8 秒	22°38'21.5sN 121°29'34.8sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區龜灣分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	3	0.29	NA	POLYGON	N22 度 38 分 13.7 秒 E121 度 29 分 16.2 秒	22°38'13.7sN 121°29'16.2sE	多邊形所圍面積減去多算的陸地面積	NA
綠島漁業資源保育區環島分區	綠島漁業資源保育區	漁業法	漁業署	臺東縣政府	3	5.3	NA	NA	NA	NA	特定行政或地理區域臨海邊界向外海延伸特定距離範圍內	200
小馬漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.78	5	POLYGON	"23°01'12.6""N;121°20'10.3""E"	23°01'12.6sN 121°20'10.3sE	多邊形所圍面積減去多算的陸地面積	NA
小馬漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.78	5	POLYGON	"23°01'14.1""N;121°20'17.1""E"	23°01'14.1sN 121°20'17.1sE	多邊形所圍面積減去多算的陸地面積	NA
小馬漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.78	5	POLYGON	"22°59'58.6""N;121°19'16.3""E"	22°59'58.6sN 121°19'16.3sE	多邊形所圍面積減去多算的陸地面積	NA
小馬漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.78	5	POLYGON	"22°59'58""N;121°19'23.4""E"	22°59'58sN 121°19'23.4sE	多邊形所圍面積減去多算的陸地面積	NA
小港漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.45	2.5	POLYGON	"23°10'11.9""N;121°24'16.2""E"	23°10'11.9sN 121°24'16.2sE	NA	NA
小港漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.45	2.5	POLYGON	"23°10'15.2""N;121°24'22.3""E"	23°10'15.2sN 121°24'22.3sE	NA	NA
小港漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.45	2.5	POLYGON	23°10.250' N;121°24.237' E	23°10.250'N 121°24.237'E	NA	NA
小港漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.45	2.5	POLYGON	"23°09'27.4''N;121°24'24""E"	23°09'27.4sN 121°24'24sE	NA	NA
宜灣漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.51	3	POLYGON	"23°12'20.7""N;121°23'47.4""E"	23°12'20.7sN 121°23'47.4sE	多邊形所圍面積減去多算的陸地面積	NA
宜灣漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.51	3	POLYGON	"23°12'19.2""N;121°23'54.1""E"	23°12'19.2sN 121°23'54.1sE	多邊形所圍面積減去多算的陸地面積	NA
宜灣漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.51	3	POLYGON	"23°11'22.9""N;121°23'51.2""E"	23°11'22.9sN 121°23'51.2sE	多邊形所圍面積減去多算的陸地面積	NA
宜灣漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	3	0.51	3	POLYGON	"23°11'23.9''N;121°23'58.1""E"	23°11'23.9sN 121°23'58.1sE	多邊形所圍面積減去多算的陸地面積	NA
富山漁業資源保育區	NA	漁業法	漁業署	臺東縣政府	NA	0.73	NA	NA	NA	NA	NA	NA
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	3	0.45	NA	POLYGON	"22°50'46.6"" N;121°11'20.9 ""E"	22°50'46.6sN 121°11'20.9 sE	多邊形所圍面積減去多算的陸地面積	NA
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	3	0.45	NA	POLYGON	"22°50'45.6"" N;121°11'38.5 ""E"	22°50'45.6sN 121°11'38.5 sE	多邊形所圍面積減去多算的陸地面積	NA
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	3	0.45	NA	POLYGON	"22°50'18.9"" N;121°11'18.5 ""E"	22°50'18.9sN 121°11'18.5 sE	多邊形所圍面積減去多算的陸地面積	NA
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	3	0.45	NA	POLYGON	"22°50'17.1"" N;121°11'36 ""E"	22°50'17.1sN 121°11'36 sE	多邊形所圍面積減去多算的陸地面積	NA
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.28	NA	POLYGON	"22°50'18.9"" N;121°11'18.5 ""E"	22°50'18.9sN 121°11'18.5 sE	多邊形所圍面積減去多算的陸地面積	NA
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.28	NA	POLYGON	"22°50'17.1"" N;121°11'36 ""E"	22°50'17.1sN 121°11'36 sE	多邊形所圍面積減去多算的陸地面積	NA
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.28	NA	POLYGON	"22°50'02.8"" N;121°11'08.4 ""E"	22°50'02.8sN 121°11'08.4 sE	多邊形所圍面積減去多算的陸地面積	NA
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	2	0.28	NA	POLYGON	"22°49'58.4"" N;121°11'25.5 ""E"	22°49'58.4sN 121°11'25.5 sE	多邊形所圍面積減去多算的陸地面積	NA
壽豐鄉鹽寮保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.68	NA	POLYGON	"23°53'07.5""N;121°36'12.5""E"	23°53'07.5sN 121°36'12.5sE	多邊形所圍面積減去多算的陸地面積	NA
壽豐鄉鹽寮保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.68	NA	POLYGON	"23°53'07.5""N;121°36'19.6""E"	23°53'07.5sN 121°36'19.6sE	多邊形所圍面積減去多算的陸地面積	NA
壽豐鄉鹽寮保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.68	NA	POLYGON	"23°51'36.9""N;121°35'51.8""E"	23°51'36.9sN 121°35'51.8sE	多邊形所圍面積減去多算的陸地面積	NA
壽豐鄉鹽寮保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.68	NA	POLYGON	"23°51'36.9""N;121°35'58.9""E"	23°51'36.9sN 121°35'58.9sE	多邊形所圍面積減去多算的陸地面積	NA
壽豐鄉水璉保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.27	NA	POLYGON	"23°43'29.4""N;121°33'23.6""E"	23°43'29.4sN 121°33'23.6sE	多邊形所圍面積減去多算的陸地面積	NA
壽豐鄉水璉保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.27	NA	POLYGON	"23°43'29.4""N;121°33'30.7""E"	23°43'29.4sN 121°33'30.7sE	多邊形所圍面積減去多算的陸地面積	NA
壽豐鄉水璉保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.27	NA	POLYGON	"23°43'0.6""N;121°32'57.9""E"	23°43'0.6sN 121°32'57.9sE	多邊形所圍面積減去多算的陸地面積	NA
壽豐鄉水璉保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.27	NA	POLYGON	"23°43'0.6""N;121°33'4.9""E"	23°43'0.6sN 121°33'4.9sE	多邊形所圍面積減去多算的陸地面積	NA
豐濱鄉高山保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.24	NA	POLYGON	"23°41'03.5""N;121°32'52.7""E"	23°41'03.5sN 121°32'52.7sE	多邊形所圍面積減去多算的陸地面積	NA
豐濱鄉高山保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.24	NA	POLYGON	"23°41'03.5""N;121°32'59.8""E"	23°41'03.5sN 121°32'59.8sE	多邊形所圍面積減去多算的陸地面積	NA
豐濱鄉高山保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.24	NA	POLYGON	"23°40'23.9""N;121°32'47.3""E"	23°40'23.9sN 121°32'47.3sE	多邊形所圍面積減去多算的陸地面積	NA
豐濱鄉高山保育區	NA	漁業法	漁業署	花蓮縣政府	3	0.24	NA	POLYGON	"23°40'23.9""N;121°32'54.3""E"	23°40'23.9sN 121°32'54.3sE	多邊形所圍面積減去多算的陸地面積	NA
